min_avg_RSS12_1,max_avg_RSS12_1,mean_avg_RSS12_1,median_avg_RSS12_1,standard deviation_avg_RSS12_1,1st quart_avg_RSS12_1,3rd quart_avg_RSS12_1,min_var_RSS12_1,max_var_RSS12_1,mean_var_RSS12_1,median_var_RSS12_1,standard deviation_var_RSS12_1,1st quart_var_RSS12_1,3rd quart_var_RSS12_1,min_avg_RSS13_1,max_avg_RSS13_1,mean_avg_RSS13_1,median_avg_RSS13_1,standard deviation_avg_RSS13_1,1st quart_avg_RSS13_1,3rd quart_avg_RSS13_1,min_var_RSS13_1,max_var_RSS13_1,mean_var_RSS13_1,median_var_RSS13_1,standard deviation_var_RSS13_1,1st quart_var_RSS13_1,3rd quart_var_RSS13_1,min_avg_RSS23_1,max_avg_RSS23_1,mean_avg_RSS23_1,median_avg_RSS23_1,standard deviation_avg_RSS23_1,1st quart_avg_RSS23_1,3rd quart_avg_RSS23_1,min_var_RSS23_1,max_var_RSS23_1,mean_var_RSS23_1,median_var_RSS23_1,standard deviation_var_RSS23_1,1st quart_var_RSS23_1,3rd quart_var_RSS23_1,bending
35,47.4,43.9545,44.33,1.558835066,43,45,0,1.7,0.42625,0.47,0.338690374,0,0.5,6.5,29.75,22.12235417,23,3.030942804,19.75,24,0,4.44,0.4973125,0.43,0.55065729,0,0.83,29,38.5,35.58845833,36,1.999604063,35.3625,36.5,0,1.79,0.493291667,0.43,0.513506101,0,0.94,1
33,47.75,42.1798125,43.5,3.670665661,39.15,45,0,3,0.696041667,0.5,0.630860299,0,1.12,8.5,30,22.183625,23,3.810469341,20.5,24.3725,0,5.15,0.989916667,0.83,0.953730393,0.43,1.3,20,38.67,33.49391667,35,3.849447819,30.4575,36.33,0,2.18,0.613520833,0.5,0.524317132,0,1,1
33,45.75,41.6780625,41.75,2.243490001,41.33,42.75,0,2.83,0.535979167,0.5,0.405468722,0.43,0.71,3,28.25,19.0065625,19.125,4.08710688,16.5,22.0625,0,6.42,0.841875,0.5,0.928800731,0.43,1.12,23.67,37.5,29.85708333,30,2.411026391,28.4575,31.25,0,1.79,0.383291667,0.43,0.389164297,0,0.5,1
37,48,43.45495833,43.25,1.38609784,42.5,45,0,1.58,0.378083333,0.47,0.315566352,0,0.5,5.75,27,15.79333333,15,3.847637636,13,18.27,0,10.03,0.849354167,0.5,0.995761477,0.43,1.12,8,33.5,23.03479167,23.5,2.48886228,22.25,24,0,5.26,0.679645833,0.5,0.622533781,0.43,0.87,1
36.25,48,43.969125,44.5,1.618363585,43.31,44.67,0,1.5,0.413125,0.47,0.263110955,0.43,0.5,1.5,26.33,15.86802083,16.25,3.742420209,14.25,18,0,5.17,0.666354167,0.47,0.788984601,0,0.94,11.33,30.75,22.10375,21.67,3.318301138,20.5,23.75,0,2.96,0.5553125,0.49,0.487826232,0,0.83,1
21,50,32.58620833,33,6.238143309,26.1875,34.5,0,9.9,0.516125,0.43,0.789957046,0,0.8225,0,28.25,13.941625,14.25,5.88326634,10,18,0,7.4,0.868895833,0.5,1.027012729,0.43,1.12,5,33.75,20.34570833,19.585,5.032424253,17.67,23.5,0,13.61,1.162041667,0.83,1.332979928,0.47,1.3,1
27.5,33,29.8819375,30,1.153837473,29,30.27,0,1,0.2564375,0,0.275833177,0,0.47,0,14.5,8.16625,8.75,3.403612796,5.5,11.25,0,4.44,0.544645833,0.47,0.644369122,0,0.71,11,23.25,18.11789583,18,1.745970353,17,19,0,6.4,0.701625,0.71,0.481102883,0.47,0.94,1
19,45.5,30.93810417,29,7.684145836,26.75,38,0,6.4,0.467166667,0.43,0.734444455,0,0.5,0,32.75,14.58983333,15.75,7.638935151,9.6875,20.69,0,11.42,0.777541667,0.47,1.014101924,0,1.12,1.67,36,18.38908333,17.5,5.845911227,15,20.8125,0,6.73,1.107354167,0.83,1.080841839,0.47,1.3,1
25,47.5,31.05825,29.71,4.829794432,27.5,31.8125,0,6.38,0.405458333,0.43,0.566667914,0,0.5,2,28.33,15.29666667,15,4.841974887,13,17.75,0,5.32,0.823541667,0.5,0.902247922,0,1.12,0,40.33,14.4071875,13,7.853426749,9,18.3125,0,4.92,1.098104167,0.94,0.831480274,0.5,1.3,1
19,44,36.22839583,36,3.52861688,34,39,0,12.28,2.8316875,2.285,1.886689301,1.5,3.845,5.5,25.25,15.4245,15.25,3.249834324,13.33,17.5,0,9.5,3.119125,2.94,1.683513222,1.79,4.2175,2.5,24.5,15.872375,16,3.166654515,14,18.0625,0,9.98,3.4806875,3.34,1.827769025,2.1025,4.55,1
26.5,44.33,36.68729167,36,3.529404156,34.25,39.3725,0,12.89,2.973041667,2.36,2.073902537,1.41,4.2625,8.33,28.25,18.39679167,18,3.771097883,15.67,20.75,0,9.63,2.976604167,2.685,1.861730156,1.48,4.09,3,24.67,16.48,16.75,2.978237699,14.67,18.5,0,8.19,3.0733125,2.69,1.629674861,1.9125,4.0875,1
25.33,45,37.1143125,36.25,3.710384618,34.5,40.25,0,10.84,2.73,2.24,1.924365904,1.3,3.7175,3,27.25,16.66391667,16.67,3.612220686,14.25,18.8125,0,10.57,3.138541667,2.87,1.84768036,1.79,4.11,6.75,23.33,16.48754167,16.67,2.847876072,14.75,18.5,0,9.5,3.076354167,2.77,1.824534213,1.7,4.0375,1
26.75,44.75,36.863375,36.33,3.555786995,34.5,39.75,0,11.68,2.7573125,2.23,2.115957678,1.22,4.0225,7,27,16.49475,16,3.58818252,14,19,0,9.01,3.013604167,2.86,1.774530703,1.56,4.0675,8,23,16.58114583,16.75,2.655905568,15,18.67,0,8.81,2.7733125,2.59,1.56991884,1.64,3.6325,1
26.25,44.25,36.95745833,36.29,3.434862679,34.5,40.25,0,8.64,2.420083333,2.05,1.724901375,1.25,3.35,7,26.5,15.31341667,15.25,3.034030095,13.25,17.33,0,8.06,2.784145833,2.565,1.542971572,1.58,3.77,2,22.25,15.98916667,16.33,2.851673159,14,18.25,0,8.34,2.934625,2.525,1.631380125,1.66,4.03,0
27.75,44.67,37.14483333,36.33,3.758903914,34,40.5,0,10.76,2.4190625,1.88,1.643174583,1.25,3.3675,0,24.75,14.99847917,15,3.289537152,13,17.25,0,9,2.849625,2.5,1.715184873,1.58,3.9,0,23,16.77352083,17,2.689290579,15,18.75,0,8.75,2.8224375,2.59,1.637182676,1.58,3.74,0
27,45,36.81952083,36,3.900459367,33.75,40.25,0,10.47,2.600145833,2.12,1.821403878,1.3,3.87,5.67,25,15.302625,15,3.504932549,12.75,17.67,0,10.61,2.937020833,2.62,1.661464153,1.7,3.87,8.67,24.67,17.29627083,17.415,2.781030443,15.5,19.27,0,8.99,2.8875625,2.525,1.723094178,1.56,3.77,0
27,44.33,36.54166667,36,4.018922431,33.25,39.8125,0,10.43,2.847958333,2.45,1.89239694,1.3,4.15,6,27.67,16.1560625,16,3.439020184,14,18.05,0,9.63,3.055458333,2.87,1.742389296,1.7975,4.03,7.67,24.5,17.062625,16.75,3.088140792,15,19.5,0,9.18,3.225458333,2.87,1.769757835,1.885,4.2625,0
18.5,44.25,35.75235417,36,4.614801692,33,39.33,0,12.6,3.328104167,2.83,2.140576072,1.775,4.33,5,27,16.05502083,16,3.446145831,13.73,18.33,0,9.46,2.871125,2.65,1.70481964,1.5,3.78,4,24.33,16.00127083,16.25,3.12005665,14,18.0625,0,9.39,3.069666667,2.77,1.748325621,1.7975,4.06,0
19,43.75,35.879875,36,4.614877591,33,39.5,0,11.2,3.4143125,2.92,2.237955455,1.655,4.845,7.67,26.5,16.690375,17,3.009363374,14.75,18.69,0,8.87,3.128354167,2.87,1.77946979,1.7225,4.3225,0,26.5,17.0783125,17,3.537634624,14.75,19.69,0,8.5,3.093020833,2.93,1.626034098,1.89,4.06,0
23.33,43.5,36.24408333,36.75,3.822015775,33.4575,39.25,0,9.71,2.736020833,2.17,2.092001619,1.22,3.74,7,28.5,18.43570833,18.33,4.021628987,15.67,21,0,9.78,3.129791667,2.895,1.810499291,1.775,4.24,7.67,27,18.49714583,18.5,3.617701721,15.75,21,0,11.15,3.5305,3.11,1.963685385,2.17,4.6175,0
24.25,45,37.17704167,36.25,3.581301066,34.5,40.25,0,8.58,2.374208333,1.92,1.601799288,1.3,3.13,5.5,26.75,16.53108333,16.67,3.430906451,14.25,19,0,8.05,2.910604167,2.62,1.60013708,1.64,3.9175,7,25.5,19.60725,20,2.890347253,17.95,21.75,0,9.34,2.921729167,2.5,1.85259997,1.5,3.9,0
18,46,35.19333333,36,4.751867948,32,38.75,0,16.2,4.321020833,3.88,2.625516114,2.48,5.87,5.67,24.5,15.46222917,15.67,3.114222112,13.33,17.5,0,8.76,3.072854167,2.86,1.508713723,1.9125,4.09,6.25,23.5,16.10120833,16.33,3.207642199,14.25,18.5,0,8.5,3.241958333,3.015,1.769182465,1.885,4.44,0
20.75,46.25,34.76333333,35.29,4.742208084,31.67,38.25,0,12.68,4.223791667,3.9,2.278004428,2.49,5.7225,5,23.75,15.23902083,15.33,2.920828607,13.5,17.25,0,9.2,3.2070625,3,1.590471863,2.05,4.195,6,25.5,16.2995625,16.25,3.17468076,14.25,18.33,0,9.39,3.288270833,3.27,1.647527701,2.05,4.305,0
21.5,51,34.9358125,35.5,4.645944487,32,38.0625,0,12.21,4.11575,3.845,2.335242621,2.35,5.625,6.5,23.33,15.52452083,15.5,2.90024824,13.33,17.67,0,9.09,3.092791667,2.87,1.50344577,2.0575,3.84,6.33,25,15.99722917,16.25,3.192057803,14.2375,18.25,0,10.21,3.280020833,3.015,1.700917657,2.12,4.5,0
18.33,47.67,34.33304167,34.75,4.948769856,31.25,38,0,12.48,4.396958333,3.9,2.568679977,2.49,5.745,7.67,23.33,15.56289583,15.5,2.96774092,13.67,17.5,0,9.01,3.1983125,2.93,1.676270548,2.05,4.245,6.67,24,15.8644375,16,3.000492669,13.75,18,0,8.01,3.261583333,2.98,1.617289671,2.05,4.32,0
18.33,45.75,34.599875,35.125,4.73178966,31.5,38,0,15.37,4.398833333,4.025,2.538520909,2.55,5.7675,5.5,24,15.17366667,15,3.036746263,13,17.3725,0,9.18,3.1455,3.015,1.5913463,2.0375,4.1575,6.5,23.25,16.0555625,16,2.905687766,14,18.25,0,8.86,3.289541667,3.015,1.680169553,2.12,4.26,0
15.5,43.67,34.225875,34.75,4.44179759,31.25,37.25,0,17.24,4.3545,3.9,2.518990619,2.49,5.765,7.67,23,15.60647917,15.5,2.812273707,13.75,17.5,0,9.2,3.365375,3.03,1.730792433,2.12,4.44,5.75,24,16.148,16.25,2.992920136,14.33,18.25,0,9.42,3.479541667,3.27,1.76114625,2.24,4.5375,0
21.5,51.25,34.25352083,35,4.940741146,30.9375,37.75,0,13.55,4.457895833,4.15,2.387192328,2.7275,5.89,6.5,24,15.24629167,15.25,2.960901093,13.25,17.25,0,9.5,3.279145833,3.1,1.759378656,2.0375,4.4025,7,24.25,15.71608333,15.75,3.116626983,13.75,18,0,8.32,3.50075,3.285,1.692377563,2.18,4.5575,0
19.5,45.33,33.586875,34.25,4.65093546,30.25,37,0,14.67,4.5765625,4.26,2.461077139,2.87,6.105,7.33,23.25,15.31785417,15.33,2.970440064,13.25,17.27,0,9,3.227229167,3.1,1.647474194,2.05,4.26,6.33,25,15.89214583,16,3.283983429,13.73,18.25,0,8.32,3.259729167,3.11,1.640243289,2.05,4.3225,0
19.75,45.5,34.32275,35.25,4.752477031,31,38,0,13.47,4.456333333,3.9,2.599284126,2.49,5.97,6.25,22.25,15.20977083,15.25,2.711022377,13.5,17,0,9,3.277229167,3.11,1.500046078,2.17,4.39,6.25,23.25,15.55045833,15.75,3.119856234,13.5,17.75,0,9.67,3.4325625,3.2,1.732727193,2.1575,4.565,0
19.5,46,34.54622917,35.25,4.842293508,31.25,37.8125,0,12.47,4.371958333,4.135,2.360448437,2.49,5.8,7,22.67,15.18572917,15.25,2.75760355,13.25,17,0,8.34,3.0286875,2.86,1.665184369,1.79,4.11,7,22.75,15.75954167,15.75,2.823124056,14,17.75,0,10,3.338125,3.08,1.656742353,2.16,4.335,0
23.5,46.25,34.87322917,35.25,4.531720098,31.75,38.25,0,14.82,4.380583333,3.925,2.435437415,2.5,5.9325,6.67,24.25,15.4711875,15.5,2.813077432,13.5,17.25,0,9.9,3.2056875,3.03,1.519347853,2.0575,4.19,5.5,23.5,15.87389583,16,3.13107591,13.75,18,0,9.51,3.424645833,3.27,1.690959839,2.17,4.5,0
19.25,44,34.4731875,35,4.796705424,31.25,38,0,13.86,4.3593125,3.96,2.388746438,2.49,5.9,6,22.75,15.42470833,15.5,2.802065879,13.67,17.33,0,9.1,3.188270833,3.03,1.602504215,2.05,4.0375,4.67,23.25,15.70416667,16,3.156319924,13.73,17.75,0.43,9,3.340458333,3.09,1.699114161,2.12,4.375,0
42.5,46,44.75395833,45,0.520308803,44.75,45,0,1.12,0.153916667,0,0.258815499,0,0.43,3.67,27.25,18.57960417,19.25,4.128090144,17,21,0,5.17,0.6253125,0.47,0.675657807,0.43,0.83,4.33,30.75,19.26508333,19,4.12751453,17.5,21.69,0,4.3,0.764083333,0.7,0.652090899,0.43,1,0
25.5,45.75,36.5600625,36.5,5.915081411,30,42.5,0,12.19,0.422166667,0,0.772992108,0,0.82,1,24,14.89483333,15.33,5.459764803,11,20.27,0,5.12,0.740520833,0.495,0.832855803,0,0.94,5.5,27,17.14972917,18,2.863599595,15.5,19,0,6.26,0.854833333,0.83,0.717602693,0.43,1.145,0
27,38.67,32.90597917,30.25,3.505775712,30,37,0,2.49,0.45675,0,0.538783386,0,1,2.5,23.75,16.30591667,18.5,5.164882745,12,21,0,5.12,0.664791667,0.47,0.768113731,0,0.87,2,23.5,18.08722917,19.25,3.736306722,16.5,20.75,0,5.12,0.791354167,0.71,0.755738823,0.43,1,0
27.5,50.75,38.888375,36.75,3.64290122,36.25,42,0,6.06,0.3834375,0.43,0.488937385,0,0.5,1.5,23.25,14.85416667,15,3.926922296,12,18,0,6.02,0.654270833,0.47,0.708297003,0,0.87,0,23.75,16.52202083,17.75,4.978530008,14,20.75,0,5.17,0.840208333,0.82,0.750636166,0.43,1.09,0
42,45,42.8219833,42.5,0.89181801,42,43.5,0,1.12,0.335678497,0.43,0.26035683,0,0.5,0,23,17.19970772,18,3.898005863,16,20,0,5.45,0.531189979,0.43,0.763926246,0,0.71,1,23,16.02565762,17,4.112285494,13.25,19,0,6.36,0.856012526,0.82,0.764800524,0.43,1.09,0
41.75,46.5,43.19085417,42.5,1.230345056,42,44.5,0,1.5,0.266270833,0.43,0.271587865,0,0.5,0,21.67,14.8583125,15,4.727836223,12.25,18.425,0,4.64,0.510208333,0.47,0.54269716,0,0.72,5.67,22,16.04316667,16,3.027168967,14,18.33,0,5.45,0.806229167,0.82,0.645476107,0.43,1.09,0
35.25,48.5,40.21927083,39.25,2.741217231,37.75,42.5,0,3.28,0.617479167,0.5,0.485416658,0.43,1,0,23.5,14.85122917,16,4.929223743,11.9375,18.25,0,5.12,0.872229167,0.495,0.988864635,0,1.22,0,27.33,15.16727083,15.25,5.313752655,11.67,19.75,0,6.36,1.057729167,0.83,1.025925342,0.47,1.3,0
28.5,48.25,43.88483333,45.25,3.198893855,42,46.5,0,3.28,0.517354167,0.5,0.394064363,0.43,0.71,0,24.25,14.997375,15,5.621780729,11.1875,18.75,0,6.98,1.0476875,0.82,1.097028186,0.43,1.48,1.5,25,14.92054167,15.875,5.258598498,10.5,19.25,0,7,1.354916667,1.09,1.150883111,0.5,1.7,0
39.5,45,42.11158333,42,1.122244616,41.5,42,0,1.09,0.3419375,0.47,0.295804688,0,0.5,0,21.8,11.44225,12,4.53966517,9,14.75,0,7.31,0.889395833,0.5,1.072167847,0.43,0.955,1,23,12.97391667,13.29,4.847545283,9,17.25,0,6.36,0.961166667,0.82,0.882784486,0.47,1.22,0
39.67,44.75,42.28266667,41.5,1.356148903,41.5,44.33,0,1,0.498354167,0.5,0.147984368,0.47,0.5,0,22.75,9.469541667,10,5.313779641,5,14,0,5.68,0.899645833,0.82,0.836194082,0.43,1.25,0,23.25,12.5371875,12,6.03979688,8.5,18.25,0,7.85,0.869,0.82,0.794212521,0.47,1,0
40,44.67,42.3601875,42,1.01737154,41.5,43.25,0,1,0.4825,0.5,0.246388528,0.43,0.5,2,23.5,12.88454167,12.75,4.01288387,11.4575,15,0,5.93,0.6200625,0.47,0.747947083,0,0.83,2.5,26.67,15.2604375,13.25,6.466785543,9.75,22,0,4.64,0.7198125,0.5,0.608546444,0.43,0.83,0
29.25,46,42.72885417,43.25,2.046361744,41.33,44.5,0,4.72,0.555333333,0.5,0.382543806,0.47,0.5,0,24,15.82364583,16.5,4.879742952,12.4575,20,0,6.12,0.758270833,0.47,0.907714863,0,1,2,24,16.4089375,17.67,4.293969301,13.73,19,0,5.1,0.892083333,0.71,0.851174942,0.43,1.22,0
30,46.67,42.64852083,42.75,2.395338048,41.5,45,0,2.95,0.402833333,0.43,0.413718679,0,0.5,3,21.25,18.12929167,18.5,2.850421995,18,19.75,0,7.5,0.467979167,0.43,0.687212973,0,0.5,1,20.75,12.06041667,12.29,3.141679443,10.6275,14.25,0,4.64,0.917354167,0.83,0.709637709,0.47,1.12,0
36,47.5,43.72002083,45,2.38410459,43,45,0,1.92,0.366708333,0.43,0.374116633,0,0.5,6.67,21,17.01027083,17.75,2.71221857,15.5,18.75,0,6.02,0.544333333,0.43,0.743740177,0,0.71,1,20.25,13.19827083,13.75,3.289138342,11.31,15.5425,0,6.18,1.0396875,0.83,0.916657326,0.47,1.22,0
34.5,47.75,44.47114583,45,1.77255337,45,45.25,0,2.18,0.290479167,0,0.392914249,0,0.5,5,21.33,17.94854167,18.5,2.513796246,18,19.33,0,5.54,0.56625,0.43,0.700981194,0,0.71,1,19.67,13.21008333,13,2.612389781,12,14.8125,0,4.32,0.927375,0.83,0.756435842,0.47,1.22,0
35.5,48,46.2249375,46,1.748315024,45.25,48,0,4.5,0.312354167,0,0.464541078,0,0.5,0,21,15.0316875,15.585,4.313437888,11.75,18.5,0,5.12,0.5985,0.47,0.679232835,0,0.83,2.5,21,13.39402083,13.5,2.931580527,12,15.25,0,6,0.882583333,0.83,0.668423498,0.47,1.12,0
29.75,48,46.93220833,47.5,1.83266525,47.2375,47.75,0,4.6,0.429666667,0.5,0.367267023,0.43,0.5,6.5,21,16.84785417,18,2.617513478,16.33,18.25,0,6.52,0.5354375,0.43,0.713323118,0,0.71,2.67,21.25,13.281875,13.67,3.134821705,11.67,15.5,0,6.58,0.991125,0.83,0.855329104,0.47,1.22,0
36.33,47.67,45.399625,45.5,1.32812104,45,46.33,0,1.66,0.460145833,0.5,0.269888594,0.43,0.5,1.5,21.25,17.67139583,18,1.745801145,17.4575,18.33,0,4.11,0.4413125,0.43,0.478166019,0,0.5,1,19.75,12.42854167,13.125,3.374095156,11.25,14.5,0,4.5,0.795104167,0.82,0.503006815,0.47,1,0
36,45.8,42.41991667,42.67,2.520129233,41.33,44.6175,0,2.12,0.4605625,0.47,0.38740491,0,0.505,6.33,24,16.32054167,16.75,2.466756705,15,18,0,5.59,0.749895833,0.5,0.667631427,0.43,1.0375,2,22,10.06775,9.75,3.722074076,7.6275,12,0,6.65,1.226270833,1.09,0.891987793,0.5,1.585,0
37,48.25,42.51695833,42.5,2.195750574,41,44.5,0,2.12,0.4406875,0.47,0.349430414,0,0.5,1,21.75,13.21872917,13.5,4.735348776,9.73,17.5,0,5.61,0.7999375,0.5,0.867768354,0.43,1.02,1,21,14.63975,15,3.62355659,12.6275,17.5,0,6.85,0.977416667,0.83,0.853279559,0.47,1.22,0
36.25,45.5,42.95935417,42.67,1.50087817,42,44.33,0,2.6,0.352875,0.47,0.313585343,0,0.5,0,22,11.7804375,12,3.021746377,11,13.33,0,4.72,0.5641875,0.47,0.638179305,0,0.83,0,20.25,14.94602083,15.25,2.702604674,14,16.69,0,4,0.748479167,0.82,0.461151753,0.43,0.95,0
36,47.33,42.67458333,43.67,2.384169571,40,44.75,0,2.17,0.419166667,0.47,0.368383215,0,0.5,0,21,12.11070833,12.67,3.556719877,11.6275,14.33,0,5.56,0.5675,0.43,0.71836424,0,0.82,0,19.67,14.24745833,14.5,3.261616944,12.75,16.5,0,3.77,0.702041667,0.5,0.567450805,0.43,0.94,0
36.25,45.75,43.18752083,44.75,2.491161726,39.75,45,0,2.83,0.271270833,0,0.328807311,0,0.5,0,22.75,12.72810417,12.71,3.859886521,10.67,15.0625,0,3.74,0.642708333,0.47,0.677273299,0,0.87,2,24,18.2014375,18.25,3.566038283,16.5,21,0,3.83,0.645458333,0.5,0.56741898,0.43,0.83,0
36,47.33,44.4411875,45,2.417796502,44.6275,45.75,0,4.5,0.346604167,0.43,0.358113139,0,0.5,3,21,13.35627083,13.5,2.955020788,12,15.5,0,5.54,0.645583333,0.47,0.718202693,0,0.83,1,21,12.61154167,12.75,3.414454373,11,14.67,0,5.91,1.155083333,0.94,0.842087322,0.5,1.5,0
34,51,42.7060625,40.5,3.537476206,40.25,48,0,4.85,0.5198125,0.5,0.484085956,0,0.83,0,23,10.90995833,12,3.208410594,9,12,0,5.72,0.3320625,0,0.599694874,0,0.47,0,22.25,4.303979167,2.25,4.253807456,1,8,0,4.97,0.5493125,0.47,0.648402683,0,0.83,0
39,41,39.66783333,39.5,0.280157824,39.5,39.75,0,1,0.583604167,0.5,0.194584643,0.5,0.71,0,15,10.83420833,12,2.469507612,10.25,12,0,2.49,0.3474375,0.43,0.409144808,0,0.5,0,14.5,5.779479167,5.75,4.097351446,1.6275,9.33,0,3.49,0.6359375,0.5,0.608399416,0,0.83,0
