min_avg_RSS12_1,max_avg_RSS12_1,mean_avg_RSS12_1,median_avg_RSS12_1,standard deviation_avg_RSS12_1,1st quart_avg_RSS12_1,3rd quart_avg_RSS12_1,min_var_RSS12_1,max_var_RSS12_1,mean_var_RSS12_1,median_var_RSS12_1,standard deviation_var_RSS12_1,1st quart_var_RSS12_1,3rd quart_var_RSS12_1,min_avg_RSS13_1,max_avg_RSS13_1,mean_avg_RSS13_1,median_avg_RSS13_1,standard deviation_avg_RSS13_1,1st quart_avg_RSS13_1,3rd quart_avg_RSS13_1,min_var_RSS13_1,max_var_RSS13_1,mean_var_RSS13_1,median_var_RSS13_1,standard deviation_var_RSS13_1,1st quart_var_RSS13_1,3rd quart_var_RSS13_1,min_avg_RSS23_1,max_avg_RSS23_1,mean_avg_RSS23_1,median_avg_RSS23_1,standard deviation_avg_RSS23_1,1st quart_avg_RSS23_1,3rd quart_avg_RSS23_1,min_var_RSS23_1,max_var_RSS23_1,mean_var_RSS23_1,median_var_RSS23_1,standard deviation_var_RSS23_1,1st quart_var_RSS23_1,3rd quart_var_RSS23_1,min_avg_RSS12_2,max_avg_RSS12_2,mean_avg_RSS12_2,median_avg_RSS12_2,standard deviation_avg_RSS12_2,1st quart_avg_RSS12_2,3rd quart_avg_RSS12_2,min_var_RSS12_2,max_var_RSS12_2,mean_var_RSS12_2,median_var_RSS12_2,standard deviation_var_RSS12_2,1st quart_var_RSS12_2,3rd quart_var_RSS12_2,min_avg_RSS13_2,max_avg_RSS13_2,mean_avg_RSS13_2,median_avg_RSS13_2,standard deviation_avg_RSS13_2,1st quart_avg_RSS13_2,3rd quart_avg_RSS13_2,min_var_RSS13_2,max_var_RSS13_2,mean_var_RSS13_2,median_var_RSS13_2,standard deviation_var_RSS13_2,1st quart_var_RSS13_2,3rd quart_var_RSS13_2,min_avg_RSS23_2,max_avg_RSS23_2,mean_avg_RSS23_2,median_avg_RSS23_2,standard deviation_avg_RSS23_2,1st quart_avg_RSS23_2,3rd quart_avg_RSS23_2,min_var_RSS23_2,max_var_RSS23_2,mean_var_RSS23_2,median_var_RSS23_2,standard deviation_var_RSS23_2,1st quart_var_RSS23_2,3rd quart_var_RSS23_2,bending
36.5,46.5,44.05716666666667,44.5,1.5569714639228338,43.25,45.0,0.0,1.5,0.38104166666666667,0.47,0.32954031367999087,0.0,0.5,14.25,29.25,23.096791666666668,24.0,2.410625215853973,21.75,24.0,0.0,2.74,0.49345833333333333,0.43,0.49842022222407545,0.0,0.83,30.0,38.5,36.29354166666667,36.25,1.315723530343084,36.0,37.0,0.0,1.79,0.59825,0.5,0.5266562438281538,0.0,1.0,35.0,47.4,43.85183333333333,43.5,1.5571677880765307,43.0,45.0,0.0,1.7,0.4714583333333333,0.5,0.34234601390362973,0.43,0.5,6.5,29.75,21.147916666666667,20.625,3.270099328224978,18.4575,24.0,0.0,4.44,0.5011666666666666,0.43,0.5993855756858912,0.0,0.71,29.0,38.25,34.883375,36.0,2.298692885125274,33.0,36.25,0.0,1.5,0.3883333333333333,0.0,0.4785277864438846,0.0,0.71,1
33.75,47.75,43.278875,45.0,3.4733548805972956,42.0,45.25,0.0,3.0,0.6732916666666666,0.485,0.6342850869115418,0.0,1.0,11.0,30.0,23.14125,23.75,3.1232576230462197,21.5,24.8125,0.0,4.77,0.8080416666666667,0.71,0.7693059948666695,0.43,1.25,30.75,38.67,36.022125,36.0,1.6501051269286804,36.0,37.0,0.0,1.53,0.6409583333333333,0.7649999999999999,0.5545418387969393,0.0,1.22,33.0,46.0,41.08075,42.0,3.5374806444167874,37.75,44.5,0.0,2.86,0.7187916666666667,0.5,0.6279152915158109,0.0,1.2275,8.5,29.25,21.226,22.0,4.183730572859126,18.6275,24.0,0.0,5.15,1.1717916666666666,0.87,1.079232893505377,0.47,1.48,20.0,38.5,30.965708333333332,30.415,3.760118109726533,28.75,33.75,0.0,2.18,0.5860833333333333,0.47,0.4918725144103473,0.0,0.87,1
33.0,45.75,41.621208333333335,42.33,3.1186442644947245,39.6525,44.25,0.0,2.83,0.6230833333333333,0.5,0.4895951633634088,0.43,0.83,3.0,28.25,19.081458333333334,19.5,5.102938766714136,15.25,24.0,0.0,6.42,1.1150833333333334,0.825,1.170828120071579,0.43,1.63,23.67,37.5,30.078333333333333,30.0,2.701405904953824,28.5,31.5,0.0,1.79,0.4190833333333333,0.43,0.4111998889530915,0.0,0.71,39.25,43.67,41.73491666666666,41.5,0.5959198730689796,41.5,42.0,0.0,1.12,0.44887499999999997,0.5,0.2730503061072664,0.43,0.5,12.5,24.0,18.93166666666667,19.0,2.725349260434863,17.25,20.75,0.0,2.35,0.5686666666666667,0.47,0.45629201054175794,0.43,0.83,26.0,36.0,29.635833333333334,29.75,2.062646909522138,28.31,30.5625,0.0,1.5,0.3475,0.43,0.3631435277646042,0.0,0.5,1
39.0,48.0,44.117041666666665,45.0,1.3598363173456234,43.5,45.0,0.0,1.3,0.25004166666666666,0.0,0.3140989609222555,0.0,0.5,6.25,27.0,17.74416666666667,18.0,4.010148649324512,15.1875,20.0,0.0,10.03,1.123,0.83,1.141588557732795,0.47,1.41,10.0,33.5,23.218708333333332,23.5,2.967487349561032,21.75,24.25,0.0,5.26,0.8154166666666667,0.71,0.718015507616045,0.43,1.12,37.0,46.5,42.792875,42.67,1.0587924681380068,42.5,43.0,0.0,1.58,0.5061249999999999,0.5,0.26076084564068835,0.43,0.5,5.75,23.25,13.8425,14.25,2.438428312660281,12.0,15.0,0.0,5.21,0.5757083333333334,0.43,0.7304898327466061,0.0,0.8225,8.0,26.0,22.850875,23.25,1.8817210543991472,22.5,23.75,0.0,4.06,0.543875,0.5,0.4734450269193294,0.43,0.71,1
36.67,45.0,43.48620833333333,43.71,1.2819758703453965,42.33,44.5,0.0,1.3,0.37866666666666665,0.47,0.28443420556304694,0.0,0.5,4.0,26.33,16.39725,16.875,3.4692367005609155,14.6275,18.0,0.0,5.17,0.6629583333333333,0.47,0.8325436136020224,0.0,0.955,11.33,30.75,22.325458333333334,21.415,4.2716098645682425,19.25,24.0,0.0,2.28,0.524875,0.47,0.4868470683814705,0.0,0.83,36.25,48.0,44.452041666666666,44.5,1.771250769078041,44.25,44.75,0.0,1.5,0.44758333333333333,0.5,0.2354928805552085,0.43,0.5,1.5,24.0,15.338791666666667,15.75,3.933434279148713,13.75,18.0,0.0,3.56,0.66975,0.47,0.7446112827127291,0.0,0.8875,13.75,26.0,21.882041666666666,21.75,1.92949350518242,21.0,23.5,0.0,2.96,0.58575,0.5,0.48791789298291505,0.4225,0.83,1
21.0,50.0,32.014375,26.125,8.743463956055223,24.73,42.0,0.0,9.9,0.587875,0.47,0.9361235306541288,0.0,0.5,2.75,28.25,14.987875,14.585,5.385869244206582,11.75,18.0,0.0,7.4,0.9149583333333333,0.47,1.1846023988853425,0.43,1.09,5.0,33.75,22.217166666666667,22.415,5.895378827541378,18.4575,27.0,0.0,13.61,1.5380416666666668,1.045,1.63912158787766,0.5,2.05,27.0,36.0,33.15804166666667,33.0,0.9417009883156662,33.0,33.75,0.0,1.87,0.444375,0.0,0.6033314286207105,0.0,1.2275,0.0,24.33,12.895375,13.75,6.1777377229395976,8.1875,17.75,0.0,4.92,0.8228333333333333,0.5,0.840463792397947,0.43,1.12,6.5,24.0,18.47425,18.5,2.994501421888186,16.9375,20.0,0.0,6.02,0.7860416666666666,0.71,0.7684079601589935,0.47,0.94,1
29.0,33.0,30.712416666666666,30.29,0.9379653898329147,30.0,31.5,0.0,1.0,0.2989583333333333,0.43,0.2991972494401043,0.0,0.5,0.0,14.5,7.0572083333333335,6.5,3.611993752562358,4.4575,10.0625,0.0,4.44,0.7314583333333333,0.5,0.7669108537964828,0.43,0.87,11.0,23.25,17.869791666666668,17.71,2.0532952284870665,16.33,18.75,0.0,6.4,0.7253333333333333,0.71,0.5991164112241024,0.47,0.94,27.5,30.0,29.051458333333333,29.0,0.635067253656388,28.67,29.5,0.0,0.87,0.21391666666666667,0.0,0.24358994226385022,0.0,0.47,0.0,13.67,9.275291666666666,10.0,2.7750482521217372,7.0,12.0,0.0,2.5,0.35783333333333334,0.43,0.4170351285753151,0.0,0.5,15.5,21.33,18.366,18.5,1.330387932224736,17.33,19.25,0.0,1.5,0.6779166666666666,0.71,0.322209671680425,0.47,0.94,1
19.0,39.25,29.189875,27.0,6.216895287327778,25.9375,36.0,0.0,4.33,0.49704166666666666,0.43,0.7310037793700372,0.0,0.805,0.0,25.33,10.845791666666667,10.75,8.241266113472395,2.7874999999999996,18.5425,0.0,4.02,0.6724583333333333,0.43,0.8573986383444209,0.0,1.0,5.5,30.0,18.118875,18.0,4.122010922218308,16.4575,20.0,0.0,6.73,1.0997916666666667,0.82,1.1611610290976524,0.47,1.22,20.0,45.5,32.68633333333333,30.0,8.576204057684938,27.0,42.0,0.0,6.4,0.4372916666666667,0.43,0.7381837361945535,0.0,0.5,5.75,32.75,18.333875,17.75,4.56939266825413,15.1875,22.0,0.0,11.42,0.882625,0.5,1.141839971219469,0.0,1.22,1.67,36.0,18.659291666666668,16.25,7.166221899735469,14.4575,25.0,0.0,5.61,1.1149166666666668,0.87,0.9964518608633993,0.47,1.3,1
25.0,47.5,34.110625,30.5,5.097232248503906,30.0,39.3725,0.0,6.38,0.5285,0.47,0.7129057165358245,0.0,0.83,2.33,28.33,16.996875,16.67,5.716806228753339,13.5,22.25,0.0,5.32,0.8785416666666667,0.71,0.9268342428599607,0.0,1.25,0.0,40.33,17.908083333333334,18.25,9.242118324428313,10.0,26.3125,0.0,4.71,0.99625,0.83,0.8137788937212049,0.47,1.25,25.0,33.0,28.005875,27.585,1.4344690039250594,27.0,29.0,0.0,2.18,0.28241666666666665,0.43,0.32392725004140466,0.0,0.47,2.0,19.0,13.596458333333333,14.29,2.915485627090497,12.75,15.0,0.0,5.15,0.7685416666666667,0.47,0.8754494113863993,0.4225,0.87,0.0,18.25,10.906291666666666,12.0,3.6849458530186303,8.33,13.75,0.0,4.92,1.1999583333333332,1.0,0.8381766911699714,0.71,1.41,1
26.0,44.0,36.18320833333333,35.75,3.3248734393023107,34.0,38.8125,0.0,9.65,2.7535833333333333,2.415,1.6243486217279048,1.5,3.5775,5.5,23.0,15.423625,15.125,3.19876816395568,13.5,17.33,0.0,8.23,3.157375,2.865,1.7033354507993403,1.7675,4.5,2.5,21.75,15.466208333333332,15.75,3.007929860961826,13.6275,17.5425,0.0,9.98,3.4860416666666665,3.32,1.797079848398569,2.1500000000000004,4.5525,19.0,44.0,36.273583333333335,36.0,3.727665044982873,33.75,39.25,0.0,12.28,2.9097916666666666,2.12,2.1173867702095177,1.5,3.9325,8.0,25.25,15.425375,15.33,3.3067986049347367,13.0,17.5425,0.0,9.5,3.080875,2.94,1.6661338961925722,1.7975,4.06,6.0,24.5,16.278541666666666,16.5,3.2738957316712067,14.149999999999999,18.67,0.0,8.61,3.4753333333333334,3.34,1.8616937594874086,2.05,4.5075,1
