min_avg_RSS12_1,max_avg_RSS12_1,mean_avg_RSS12_1,median_avg_RSS12_1,standard deviation_avg_RSS12_1,1st quart_avg_RSS12_1,3rd quart_avg_RSS12_1,min_var_RSS12_1,max_var_RSS12_1,mean_var_RSS12_1,median_var_RSS12_1,standard deviation_var_RSS12_1,1st quart_var_RSS12_1,3rd quart_var_RSS12_1,min_avg_RSS13_1,max_avg_RSS13_1,mean_avg_RSS13_1,median_avg_RSS13_1,standard deviation_avg_RSS13_1,1st quart_avg_RSS13_1,3rd quart_avg_RSS13_1,min_var_RSS13_1,max_var_RSS13_1,mean_var_RSS13_1,median_var_RSS13_1,standard deviation_var_RSS13_1,1st quart_var_RSS13_1,3rd quart_var_RSS13_1,min_avg_RSS23_1,max_avg_RSS23_1,mean_avg_RSS23_1,median_avg_RSS23_1,standard deviation_avg_RSS23_1,1st quart_avg_RSS23_1,3rd quart_avg_RSS23_1,min_var_RSS23_1,max_var_RSS23_1,mean_var_RSS23_1,median_var_RSS23_1,standard deviation_var_RSS23_1,1st quart_var_RSS23_1,3rd quart_var_RSS23_1,min_avg_RSS12_2,max_avg_RSS12_2,mean_avg_RSS12_2,median_avg_RSS12_2,standard deviation_avg_RSS12_2,1st quart_avg_RSS12_2,3rd quart_avg_RSS12_2,min_var_RSS12_2,max_var_RSS12_2,mean_var_RSS12_2,median_var_RSS12_2,standard deviation_var_RSS12_2,1st quart_var_RSS12_2,3rd quart_var_RSS12_2,min_avg_RSS13_2,max_avg_RSS13_2,mean_avg_RSS13_2,median_avg_RSS13_2,standard deviation_avg_RSS13_2,1st quart_avg_RSS13_2,3rd quart_avg_RSS13_2,min_var_RSS13_2,max_var_RSS13_2,mean_var_RSS13_2,median_var_RSS13_2,standard deviation_var_RSS13_2,1st quart_var_RSS13_2,3rd quart_var_RSS13_2,min_avg_RSS23_2,max_avg_RSS23_2,mean_avg_RSS23_2,median_avg_RSS23_2,standard deviation_avg_RSS23_2,1st quart_avg_RSS23_2,3rd quart_avg_RSS23_2,min_var_RSS23_2,max_var_RSS23_2,mean_var_RSS23_2,median_var_RSS23_2,standard deviation_var_RSS23_2,1st quart_var_RSS23_2,3rd quart_var_RSS23_2,min_avg_RSS12_3,max_avg_RSS12_3,mean_avg_RSS12_3,median_avg_RSS12_3,standard deviation_avg_RSS12_3,1st quart_avg_RSS12_3,3rd quart_avg_RSS12_3,min_var_RSS12_3,max_var_RSS12_3,mean_var_RSS12_3,median_var_RSS12_3,standard deviation_var_RSS12_3,1st quart_var_RSS12_3,3rd quart_var_RSS12_3,min_avg_RSS13_3,max_avg_RSS13_3,mean_avg_RSS13_3,median_avg_RSS13_3,standard deviation_avg_RSS13_3,1st quart_avg_RSS13_3,3rd quart_avg_RSS13_3,min_var_RSS13_3,max_var_RSS13_3,mean_var_RSS13_3,median_var_RSS13_3,standard deviation_var_RSS13_3,1st quart_var_RSS13_3,3rd quart_var_RSS13_3,min_avg_RSS23_3,max_avg_RSS23_3,mean_avg_RSS23_3,median_avg_RSS23_3,standard deviation_avg_RSS23_3,1st quart_avg_RSS23_3,3rd quart_avg_RSS23_3,min_var_RSS23_3,max_var_RSS23_3,mean_var_RSS23_3,median_var_RSS23_3,standard deviation_var_RSS23_3,1st quart_var_RSS23_3,3rd quart_var_RSS23_3,bending
38.75,46.5,43.945125,44.5,1.386745426298025,42.75,45.0,0.0,1.5,0.350125,0.43,0.30738701457537165,0.0,0.5,14.25,29.0,23.3910625,24.0,2.096237599018986,22.5,24.0,0.0,2.74,0.455,0.43,0.495543663073779,0.0,0.8225,30.0,38.5,36.348875,36.29,1.2170130397796532,36.0,37.0,0.0,1.5,0.5306875,0.5,0.4957240075552795,0.0,1.0,36.5,47.0,44.3241875,45.0,1.6342418748469099,43.5,45.25,0.0,1.48,0.4080625,0.43,0.35077900167893156,0.0,0.5,6.5,29.25,22.303625,23.0,3.3295757728341346,20.25,24.0,0.0,4.44,0.623,0.47,0.6719986148533196,0.0,0.87,29.0,38.33,34.71425,35.325,2.4765233670251092,33.0,36.33,0.0,1.79,0.5850625,0.5,0.5684503893267966,0.0,1.22,35.0,47.4,43.5941875,43.5,1.5679279568367268,42.75,44.8125,0.0,1.7,0.5205625,0.5,0.3360485268847099,0.45999999999999996,0.71,15.25,29.75,20.672375,19.75,2.90286726342363,18.25,23.5,0.0,2.05,0.4139375,0.43,0.4377732345338319,0.0,0.5,30.0,38.25,35.70225,36.0,1.751373207859347,36.0,36.5,0.0,1.5,0.364125,0.0,0.4459071560581855,0.0,0.5,1
35.25,47.75,43.6211875,45.0,3.3480258656896664,42.6875,45.5,0.0,3.0,0.59475,0.47,0.5559081753051214,0.0,0.83,11.0,30.0,23.1458125,23.75,3.2327024876142962,21.6275,24.5,0.0,4.15,0.71375,0.5,0.6873481536141127,0.0,1.205,32.0,38.67,36.5305,36.75,1.2887206859088227,36.0,37.269999999999996,0.0,1.5,0.6544375,0.83,0.5369910893408258,0.0,1.0,33.0,46.67,42.1004375,43.375,3.488366171938991,39.25,45.0,0.0,2.83,0.72825,0.5,0.6555870670747889,0.0,1.12,8.5,28.25,21.7769375,22.125,3.7347866662782843,20.0,24.3125,0.0,4.77,1.0678125,0.87,0.8974608990098524,0.47,1.41,28.0,38.5,34.0583125,34.835,2.6587421298520666,32.5,36.0,0.0,1.53,0.567375,0.47,0.5334042651337657,0.0,1.0225,34.5,45.25,40.8178125,42.0,3.639943097190691,36.75,44.5,0.0,2.86,0.7651249999999999,0.605,0.6663039776003423,0.0,1.3,9.0,29.25,21.628125,22.875,4.234865644657677,18.9375,24.25,0.0,5.15,1.1881875,0.83,1.1575624312462398,0.43,1.6025,20.0,38.25,29.8929375,30.0,3.641901431094071,26.9375,32.5,0.0,2.18,0.61875,0.47,0.5014466493440399,0.43,0.87,1
33.0,45.0,40.6738125,41.5,3.203229084595141,38.0,43.25,0.0,2.18,0.6983125,0.5,0.5119235176206324,0.43,1.0225,3.0,28.0,18.8588125,20.375,5.443247778644379,14.73,24.0,0.0,6.42,1.2514375,0.87,1.2691486012952984,0.43,1.89,23.67,35.25,29.0874375,29.75,2.2433443831089375,27.5,30.0,0.0,1.64,0.439375,0.43,0.42057715286191427,0.0,0.7324999999999999,38.25,45.75,42.8464375,42.585,1.525785640241955,42.0,43.67,0.0,2.83,0.4405,0.48,0.36490164092145416,0.0,0.5,10.75,28.25,19.7239375,19.5,3.731508217996422,17.4375,22.8125,0.0,5.55,0.7139375,0.5,0.719154025082563,0.43,0.9624999999999999,27.0,37.5,31.848875,31.71,2.1293799810681007,30.1875,32.5625,0.0,1.79,0.412375,0.43,0.44596089105682946,0.0,0.5,39.25,42.5,41.5139375,41.5,0.39837420680535895,41.5,41.67,0.0,1.12,0.469125,0.5,0.2446930756230378,0.47,0.5,12.5,24.0,18.4369375,18.5,2.429815324627048,16.7875,20.5,0.0,2.35,0.56025,0.47,0.4537224791106503,0.43,0.83,26.0,30.5,28.6349375,29.25,1.361657793189874,27.0,30.0,0.0,1.0,0.298125,0.43,0.2630019908095967,0.0,0.5,1
41.0,48.0,44.792125,45.0,0.7971374789691926,45.0,45.0,0.0,1.3,0.1779375,0.0,0.29022458637164283,0.0,0.43,7.75,27.0,18.918875,18.75,3.825248951901714,16.31,21.0,0.0,10.03,1.1183125,0.82,1.242273844305386,0.43,1.41,15.0,33.5,24.0943125,23.75,2.5618111276850253,22.75,25.0,0.0,5.26,0.8115,0.605,0.7782509013221931,0.43,1.0925,39.0,45.0,42.819875,42.5,1.0204413815636582,42.25,43.5,0.0,1.02,0.4435,0.5,0.26568104014840715,0.43,0.5,6.25,20.75,14.8451875,15.0,2.694495430502715,13.25,16.3725,0.0,4.5,0.88,0.5,0.9332711120320073,0.43,1.22,10.0,26.25,22.263875,22.875,2.3122920066244594,21.5,23.5,0.0,2.87,0.705875,0.5,0.4869264243880134,0.43,0.87,37.0,46.5,42.752875,42.71,1.1874725485075945,42.5,43.0,0.0,1.58,0.5128125,0.5,0.28687904640135525,0.43,0.71,5.75,23.25,13.6159375,13.25,2.683351020733533,12.0,15.0,0.0,5.21,0.54975,0.43,0.6393667759696589,0.0,0.82,8.0,26.0,22.7461875,23.5,2.2226430161412014,22.33,24.0,0.0,4.06,0.5215625,0.47,0.5304839926985865,0.0,0.71,1
40.75,45.0,43.06725,42.775,0.997720010887717,42.0,43.75,0.0,1.12,0.40875,0.47,0.27657553246307387,0.0,0.5,4.0,26.33,15.4130625,15.0,3.705754151660249,13.1875,17.0,0.0,5.17,0.8255625,0.5,0.9142139262707721,0.30000000000000004,1.12,11.33,30.75,23.47725,23.0,4.6172137518408976,21.0,28.125,0.0,2.28,0.5221875,0.43,0.5153061883650294,0.0,0.83,36.67,48.0,44.6136875,44.5,1.4581627200287883,44.33,45.0,0.0,1.5,0.3714375,0.47,0.2772185452947654,0.0,0.5,1.5,24.0,16.7839375,18.0,3.83806949915526,15.1875,18.25,0.0,2.5,0.460625,0.43,0.5588675516180664,0.0,0.71,16.25,25.5,21.331375,21.25,2.24477548218275,19.25,23.5,0.0,2.12,0.5123125,0.47,0.42049121002037904,0.0,0.83,36.25,48.0,44.2264375,44.5,1.8615501577394773,44.25,44.75,0.0,1.25,0.45918749999999997,0.47,0.2265074502085968,0.43,0.5,3.0,22.0,15.4070625,15.875,3.5303853722465384,13.6875,18.0,0.0,3.56,0.712875,0.47,0.8105091089699553,0.0,1.0,13.75,26.0,21.502625,21.5,1.9879351467788735,20.73,23.0,0.0,2.96,0.6314375,0.5,0.515526044916667,0.43,0.87,1
21.0,50.0,27.839875,25.29,7.336639590944984,24.25,26.0625,0.0,6.5,0.5076875,0.47,0.6349191221460152,0.43,0.5,2.75,26.75,13.1666875,13.0,4.7785191150790745,9.33,16.27,0.0,6.44,0.9731875,0.5,1.1740289025376294,0.43,1.2625,9.0,33.75,23.1335,22.835,6.085307411241289,18.5,28.5,0.0,13.61,1.626375,1.09,1.7612554439926387,0.5,2.0524999999999998,32.25,48.0,36.807875,34.75,4.627842643332476,33.0,42.0,0.0,9.9,0.6055625,0.43,1.0456154318339554,0.0,1.0,11.33,28.25,18.26425,18.0,3.975625823920545,15.0,21.25,0.0,7.4,0.6550625,0.47,0.9716451696436432,0.0,0.7374999999999999,5.0,28.5,19.4853125,20.585,4.8030608587047245,16.0,23.67,0.0,7.13,1.131875,0.83,1.2632648066411534,0.47,1.3,27.0,35.25,33.110875,33.0,1.0529230875528794,33.0,33.75,0.0,1.5,0.435125,0.0,0.6072797242803463,0.0,1.2625,0.0,24.33,10.3939375,10.0,5.7932591599359995,5.5,14.75,0.0,4.92,0.9784375,0.83,0.8866015582623388,0.43,1.3,11.5,23.75,18.4183125,18.5,1.9723746891268341,18.0,19.5,0.0,4.5,0.7278749999999999,0.605,0.4974278336457804,0.47,0.8875,1
30.0,33.0,31.1243125,31.25,0.8814771920443192,30.25,31.67,0.0,1.0,0.399625,0.47,0.29340098026442574,0.0,0.5,0.0,14.5,8.0718125,9.0,3.878015097533546,5.0,11.0,0.0,4.44,0.8412499999999999,0.5,0.8622485961191437,0.43,1.0,11.0,23.25,18.60125,18.25,2.0836064978147513,17.6275,19.535,0.0,6.4,0.7371875,0.71,0.7044344463120352,0.47,0.94,28.5,30.5,29.607,30.0,0.5096031258851824,29.0,30.0,0.0,0.5,0.1119375,0.0,0.19840082951173235,0.0,0.0,1.25,12.75,6.0039375,5.75,2.2968230990371117,4.75,7.0,0.0,2.06,0.398,0.43,0.40003270306565314,0.0,0.5,14.75,19.5,16.8675,16.67,1.0662613223535635,16.0,17.5,0.0,1.7,0.7018125,0.71,0.30449643319781056,0.5,0.94,27.5,30.0,28.9145,29.0,0.6348077508215726,28.5,29.33,0.0,0.87,0.25775,0.43,0.24923265885311605,0.0,0.47,0.0,13.67,10.423,11.0,2.1785621592603226,9.33,12.0,0.0,2.5,0.39468749999999997,0.43,0.46320855549147966,0.0,0.5,15.75,21.33,18.8849375,18.75,1.1422679618627647,18.25,19.67,0.0,1.48,0.665875,0.71,0.32524859868014233,0.47,0.87,1
25.25,39.25,31.110125,28.0,5.049328118639702,27.0,36.5,0.0,3.67,0.330875,0.0,0.515247253951346,0.0,0.47,0.0,21.25,6.7660625,6.125,6.14474987816848,1.0,11.25,0.0,3.3,0.57025,0.43,0.7415731620797648,0.0,0.83,9.25,30.0,19.0726875,18.5,3.6502588383927184,17.33,20.5,0.0,6.02,0.904375,0.605,0.9504885784352431,0.47,1.0,19.0,43.75,25.4610625,21.33,6.187944619372525,21.0,30.0,0.0,6.4,0.70725,0.47,0.9706653038382865,0.0,0.8574999999999999,1.0,25.33,17.385875,17.75,4.730430244569953,14.6275,21.0,0.0,5.76,1.0534375,0.83,1.0629542591642749,0.30000000000000004,1.5,1.67,28.5,14.87525,15.5,4.48067814807833,12.31,17.67,0.0,6.73,1.4963125,1.12,1.2388245706410161,0.6425,2.165,27.0,45.5,36.243125,38.25,7.453721217236176,27.67,43.5,0.0,4.92,0.363375,0.0,0.5742864180329419,0.0,0.5,7.0,32.75,19.617562500000002,19.125,4.556165736942003,15.75,24.0,0.0,11.42,0.7089375,0.47,1.1374392495353975,0.0,0.87,8.5,36.0,21.2193125,18.225,6.971192847214193,15.1875,27.0,0.0,5.61,0.921375,0.82,0.9234345839406326,0.43,1.22,1
25.0,47.5,36.337375,38.29,4.898638815878106,30.5,40.0625,0.0,6.38,0.6866875,0.5,0.7998126524931012,0.0,0.955,2.33,28.33,19.0680625,20.5,5.568936474335894,16.5,24.0,0.0,5.32,0.868875,0.5,0.9285309879575823,0.0,1.2275,3.0,40.33,22.569875,24.0,7.52357167852389,18.375,28.27,0.0,3.74,0.9908125,0.82,0.8376629452862651,0.47,1.25,27.5,32.0,29.3905625,29.5,0.856467255410967,29.0,30.0,0.0,1.5,0.27825,0.185,0.32366717512218046,0.0,0.47,2.0,19.0,12.821125,14.0,3.4081044709494543,11.6275,15.0,0.0,4.44,0.8806875,0.71,0.8073499797360958,0.43,1.2625,0.0,15.75,10.4271875,10.75,3.766441553668563,8.25,13.69,0.0,4.92,1.135625,1.0,0.8670086559164001,0.5,1.41,25.0,33.0,27.4468125,27.0,1.2555253338717267,27.0,27.67,0.0,2.18,0.2514375,0.0,0.32120615233148586,0.0,0.47,2.75,19.0,14.0008125,14.67,2.4148093852597077,13.0,15.0625,0.0,5.15,0.7210625,0.47,0.9604621508622782,0.0,0.83,0.0,18.25,10.2245,11.0,3.7975089153633537,7.9375,13.27,0.0,4.5,1.167875,1.0,0.781979738433647,0.71,1.41,1
26.0,44.0,36.2690625,36.0,3.2964514553269315,34.25,38.75,0.0,7.65,2.644,2.415,1.5278073242807113,1.41,3.54,8.5,23.0,15.630875,15.25,3.185426205402173,13.6275,17.5,0.0,8.23,3.1864375,2.9,1.7606521615029556,1.87,4.5125,2.5,21.25,15.332625,15.71,3.0593474635150093,13.6875,17.5,0.0,9.98,3.4785,3.255,1.8672063011539939,2.05,4.569999999999999,28.67,44.0,36.17425,35.625,3.5863145796417455,33.5,39.25,0.0,12.28,3.0746875,2.37,2.064340216790918,1.64,4.26,5.5,21.5,14.5371875,14.9,2.9856706360569274,12.4375,16.5,0.47,8.03,3.0434375,2.9050000000000002,1.4647119822810672,1.79,4.06,7.0,22.75,15.815625,16.0,2.941616097878103,13.6275,18.0,0.0,8.5,3.67175,3.585,1.7503101432272725,2.49,4.725,19.0,43.5,36.241875,35.75,3.7117364746480455,34.0,39.0,0.0,10.53,2.776375,2.12,2.0074664051795557,1.495,3.67,8.0,25.25,16.1054375,16.0,3.384408729586214,14.0,18.0625,0.0,9.5,3.1275,2.94,1.811802674359879,1.7675,4.15,6.0,24.5,16.468875,16.5,3.3973624596721996,14.2375,19.0,0.0,8.61,3.2918125,2.995,1.8551437489861846,1.8,4.425,1
