min_avg_RSS12_1,max_avg_RSS12_1,mean_avg_RSS12_1,median_avg_RSS12_1,standard deviation_avg_RSS12_1,1st quart_avg_RSS12_1,3rd quart_avg_RSS12_1,min_var_RSS12_1,max_var_RSS12_1,mean_var_RSS12_1,median_var_RSS12_1,standard deviation_var_RSS12_1,1st quart_var_RSS12_1,3rd quart_var_RSS12_1,min_avg_RSS13_1,max_avg_RSS13_1,mean_avg_RSS13_1,median_avg_RSS13_1,standard deviation_avg_RSS13_1,1st quart_avg_RSS13_1,3rd quart_avg_RSS13_1,min_var_RSS13_1,max_var_RSS13_1,mean_var_RSS13_1,median_var_RSS13_1,standard deviation_var_RSS13_1,1st quart_var_RSS13_1,3rd quart_var_RSS13_1,min_avg_RSS23_1,max_avg_RSS23_1,mean_avg_RSS23_1,median_avg_RSS23_1,standard deviation_avg_RSS23_1,1st quart_avg_RSS23_1,3rd quart_avg_RSS23_1,min_var_RSS23_1,max_var_RSS23_1,mean_var_RSS23_1,median_var_RSS23_1,standard deviation_var_RSS23_1,1st quart_var_RSS23_1,3rd quart_var_RSS23_1,min_avg_RSS12_2,max_avg_RSS12_2,mean_avg_RSS12_2,median_avg_RSS12_2,standard deviation_avg_RSS12_2,1st quart_avg_RSS12_2,3rd quart_avg_RSS12_2,min_var_RSS12_2,max_var_RSS12_2,mean_var_RSS12_2,median_var_RSS12_2,standard deviation_var_RSS12_2,1st quart_var_RSS12_2,3rd quart_var_RSS12_2,min_avg_RSS13_2,max_avg_RSS13_2,mean_avg_RSS13_2,median_avg_RSS13_2,standard deviation_avg_RSS13_2,1st quart_avg_RSS13_2,3rd quart_avg_RSS13_2,min_var_RSS13_2,max_var_RSS13_2,mean_var_RSS13_2,median_var_RSS13_2,standard deviation_var_RSS13_2,1st quart_var_RSS13_2,3rd quart_var_RSS13_2,min_avg_RSS23_2,max_avg_RSS23_2,mean_avg_RSS23_2,median_avg_RSS23_2,standard deviation_avg_RSS23_2,1st quart_avg_RSS23_2,3rd quart_avg_RSS23_2,min_var_RSS23_2,max_var_RSS23_2,mean_var_RSS23_2,median_var_RSS23_2,standard deviation_var_RSS23_2,1st quart_var_RSS23_2,3rd quart_var_RSS23_2,min_avg_RSS12_3,max_avg_RSS12_3,mean_avg_RSS12_3,median_avg_RSS12_3,standard deviation_avg_RSS12_3,1st quart_avg_RSS12_3,3rd quart_avg_RSS12_3,min_var_RSS12_3,max_var_RSS12_3,mean_var_RSS12_3,median_var_RSS12_3,standard deviation_var_RSS12_3,1st quart_var_RSS12_3,3rd quart_var_RSS12_3,min_avg_RSS13_3,max_avg_RSS13_3,mean_avg_RSS13_3,median_avg_RSS13_3,standard deviation_avg_RSS13_3,1st quart_avg_RSS13_3,3rd quart_avg_RSS13_3,min_var_RSS13_3,max_var_RSS13_3,mean_var_RSS13_3,median_var_RSS13_3,standard deviation_var_RSS13_3,1st quart_var_RSS13_3,3rd quart_var_RSS13_3,min_avg_RSS23_3,max_avg_RSS23_3,mean_avg_RSS23_3,median_avg_RSS23_3,standard deviation_avg_RSS23_3,1st quart_avg_RSS23_3,3rd quart_avg_RSS23_3,min_var_RSS23_3,max_var_RSS23_3,mean_var_RSS23_3,median_var_RSS23_3,standard deviation_var_RSS23_3,1st quart_var_RSS23_3,3rd quart_var_RSS23_3,min_avg_RSS12_4,max_avg_RSS12_4,mean_avg_RSS12_4,median_avg_RSS12_4,standard deviation_avg_RSS12_4,1st quart_avg_RSS12_4,3rd quart_avg_RSS12_4,min_var_RSS12_4,max_var_RSS12_4,mean_var_RSS12_4,median_var_RSS12_4,standard deviation_var_RSS12_4,1st quart_var_RSS12_4,3rd quart_var_RSS12_4,min_avg_RSS13_4,max_avg_RSS13_4,mean_avg_RSS13_4,median_avg_RSS13_4,standard deviation_avg_RSS13_4,1st quart_avg_RSS13_4,3rd quart_avg_RSS13_4,min_var_RSS13_4,max_var_RSS13_4,mean_var_RSS13_4,median_var_RSS13_4,standard deviation_var_RSS13_4,1st quart_var_RSS13_4,3rd quart_var_RSS13_4,min_avg_RSS23_4,max_avg_RSS23_4,mean_avg_RSS23_4,median_avg_RSS23_4,standard deviation_avg_RSS23_4,1st quart_avg_RSS23_4,3rd quart_avg_RSS23_4,min_var_RSS23_4,max_var_RSS23_4,mean_var_RSS23_4,median_var_RSS23_4,standard deviation_var_RSS23_4,1st quart_var_RSS23_4,3rd quart_var_RSS23_4,bending
38.75,45.0,43.629666666666665,44.33,1.3668665837246443,42.25,44.5,0.0,1.5,0.37433333333333335,0.47,0.3130944318401393,0.0,0.5,14.25,25.0,23.081166666666668,24.0,1.6486634175676267,22.5,24.0,0.0,2.74,0.40549999999999997,0.43,0.5064804408610365,0.0,0.5,30.0,37.5,35.99033333333333,36.0,1.1271581975219345,36.0,36.5,0.0,1.5,0.41741666666666666,0.43,0.4584106555607676,0.0,0.5825,36.5,46.5,44.48466666666667,45.0,1.6222771283700244,44.0,45.269999999999996,0.0,1.48,0.38775,0.43,0.3463918762511226,0.0,0.5,16.5,29.25,23.112416666666668,23.75,2.992069067371535,20.9375,25.0825,0.0,2.29,0.5814166666666667,0.5,0.4762428161011514,0.0,0.83,32.5,38.5,36.59675,36.75,1.42158460673913,36.0,37.75,0.0,1.79,0.7790833333333333,0.94,0.5300689598919148,0.45999999999999996,1.3,35.0,47.0,44.18216666666667,45.0,1.8943676727477756,43.457499999999996,45.0625,0.0,1.7,0.424,0.43,0.4163999370353283,0.0,0.5,6.5,27.5,22.699333333333332,24.0,3.3015241535834146,21.0,24.3125,0.0,4.44,0.61825,0.44999999999999996,0.7155225656936381,0.0,0.87,29.0,38.25,33.55616666666667,33.0,2.6269377588354694,31.0,36.0,0.0,1.5,0.5041666666666667,0.43,0.5242979833550196,0.0,0.94,42.33,47.4,43.5215,43.33,1.0301534926831994,42.75,43.542500000000004,0.0,1.0,0.5189166666666667,0.5,0.23969797464229683,0.47,0.5,15.25,29.75,19.5965,18.875,2.3922081673563405,18.0,20.25,0.0,2.05,0.38408333333333333,0.43,0.42652690780445773,0.0,0.5,35.25,37.67,36.21058333333333,36.0,0.39876130859511993,36.0,36.33,0.0,1.5,0.2725,0.0,0.39743346782139244,0.0,0.47,1
35.75,47.75,43.995,45.0,2.916866627799385,43.75,45.3725,0.0,3.0,0.5080833333333333,0.47,0.5220616786918413,0.0,0.5525,11.0,30.0,22.918666666666667,23.585,3.3351957934118577,21.6275,24.25,0.0,3.7,0.66475,0.5,0.6292825880558371,0.0,1.12,32.0,38.67,36.624,36.75,1.3666067896974095,36.0,37.5,0.0,1.5,0.6946666666666667,0.83,0.5314779351188603,0.0,1.145,33.75,47.75,42.56275,44.165,3.8324102082373277,39.31,45.25,0.0,2.83,0.8385,0.5,0.6931242749350233,0.43,1.3,13.25,29.75,23.363833333333332,24.0,2.8927493198428027,21.1875,25.25,0.0,4.77,0.9513333333333334,0.83,0.8667353344914593,0.43,1.3,30.75,38.0,35.42025,36.0,1.6942153001296127,33.75,36.5625,0.0,1.53,0.58725,0.47,0.573873705105718,0.0,1.24,33.0,46.0,41.124,42.0,3.5112600146893564,38.5,44.3125,0.0,2.49,0.7083333333333334,0.605,0.6100879304765546,0.0,1.12,8.5,27.33,21.07775,21.25,3.845758432373005,18.4375,24.0,0.0,4.5,1.11375,0.87,0.8481577292069237,0.47,1.4275,28.0,38.5,32.9485,32.67,2.6537589164343136,30.25,35.25,0.0,1.5,0.554,0.47,0.48266313043259446,0.0,0.87,34.5,45.25,41.0375,42.125,3.5777055343832167,37.1875,44.5,0.0,2.86,0.72925,0.5,0.6476423467035624,0.0,1.25,9.0,29.25,21.37425,22.75,4.507783122164441,18.73,24.0,0.0,5.15,1.2298333333333333,0.825,1.2700823657095133,0.43,1.7225,20.0,38.25,28.982916666666668,29.375,3.6639255239562454,26.5,30.5425,0.0,2.18,0.6181666666666666,0.47,0.5008698036656727,0.43,0.87,1
33.75,45.0,40.91,41.585,2.905104461593956,39.0,43.0625,0.0,2.17,0.6308333333333334,0.5,0.46733390674351544,0.43,0.83,3.0,28.0,19.268083333333333,21.125,5.682728557527928,15.0,24.0,0.0,5.97,1.1826666666666668,0.7649999999999999,1.2566680858011587,0.0,1.87,24.0,35.25,29.118916666666667,29.75,2.2838154702691957,27.5,30.0,0.0,1.5,0.41641666666666666,0.43,0.4255017716803081,0.0,0.71,33.0,45.75,42.33241666666667,43.5,3.173932427103753,41.35,44.5,0.0,2.83,0.6153333333333333,0.5,0.5127368210096165,0.43,0.83,3.67,28.25,18.894833333333334,18.0,4.464879002817871,15.31,23.0,0.0,6.42,1.0475,0.83,1.0792451844077076,0.43,1.41,23.67,37.5,31.03775,31.0,2.753954974977201,30.0,32.0,0.0,1.79,0.42175,0.43,0.398152587826925,0.0,0.5,40.0,43.67,41.98775,42.0,0.6257949062639303,41.5,42.269999999999996,0.0,1.12,0.40808333333333335,0.47,0.28480952158492573,0.0,0.5,13.0,24.0,19.780083333333334,20.125,2.6432420555873746,18.0,21.5,0.0,1.92,0.5745,0.5,0.4512687064024618,0.3225,0.84,27.5,36.0,30.832083333333333,30.5,1.8741307882548104,29.4575,32.0,0.0,1.5,0.4053333333333333,0.43,0.43338599119831644,0.0,0.5,39.25,42.5,41.482083333333335,41.5,0.43895578122534,41.5,41.67,0.0,1.12,0.48966666666666664,0.5,0.2554742939043738,0.47,0.5,12.5,24.0,18.08325,18.25,2.5453929918960005,16.25,20.27,0.0,2.35,0.5628333333333333,0.47,0.4630791778194872,0.43,0.83,26.0,30.5,28.439583333333335,29.125,1.4650364356230476,27.0,30.0,0.0,1.0,0.2896666666666667,0.43,0.2651143191924878,0.0,0.5,1
41.0,46.75,44.93258333333333,45.0,0.5624443887854094,45.0,45.0,0.0,1.3,0.0965,0.0,0.22912933487626627,0.0,0.0,7.75,26.67,18.038333333333334,18.415,3.1236824673552754,16.0,20.0,0.0,10.03,1.2310833333333333,0.83,1.3279210996059636,0.47,1.6,15.0,33.5,24.5035,24.0,2.751828315071683,23.4575,25.5625,0.0,5.26,0.8676666666666667,0.71,0.8314265692507201,0.43,1.12,39.0,48.0,43.3015,43.5,1.4339143405846992,42.25,44.0,0.0,1.09,0.40358333333333335,0.47,0.3132073059917514,0.0,0.5,6.25,27.0,17.45,17.125,4.729250122660999,14.0,19.8125,0.0,4.5,1.0149166666666667,0.83,0.9112988199354185,0.45999999999999996,1.3,10.0,26.25,21.933916666666665,22.25,2.6046652701389075,21.0,23.5425,0.0,2.87,0.7631666666666667,0.71,0.5819353155502712,0.43,1.09,42.0,46.5,43.10516666666667,42.67,0.9585063514501656,42.5,43.5,0.0,1.12,0.4995,0.5,0.2110432270826973,0.47,0.5,7.0,21.0,14.494833333333334,15.0,1.8802216851834714,13.575,15.0,0.0,4.24,0.5560833333333334,0.43,0.7650509905929687,0.0,0.71,20.0,26.0,23.118583333333333,23.25,0.910280495909087,22.5,23.75,0.0,1.5,0.56275,0.5,0.33352198093185076,0.43,0.83,37.0,44.25,42.480583333333335,42.585,1.0658695080183358,42.457499999999996,43.0,0.0,1.58,0.51275,0.5,0.3032096163194225,0.43,0.71,5.75,23.25,13.190166666666666,12.33,2.747429351087246,11.6275,15.0,0.0,5.21,0.5953333333333334,0.43,0.6968752987965853,0.0,0.83,8.0,25.0,22.583166666666667,23.5,2.4775699613058895,22.31,23.85,0.0,4.06,0.525,0.47,0.5815742183320813,0.0,0.71,1
40.75,45.0,42.79875,42.5,0.9248007393828284,42.0,43.5,0.0,1.12,0.38375,0.47,0.30438824859437796,0.0,0.5,4.0,26.33,15.698666666666666,15.0,4.01435510970053,13.0,17.27,0.0,5.17,0.9229166666666666,0.71,1.004846571200132,0.4225,1.2275,11.33,30.75,23.5925,22.125,5.291233792039131,20.5,30.0,0.0,2.28,0.5466666666666666,0.44999999999999996,0.5481034272350234,0.0,0.83,36.67,45.0,44.17366666666667,44.5,1.2216127467742115,44.0,45.0,0.0,1.3,0.3735833333333333,0.47,0.264161256560812,0.0,0.5,6.5,23.33,17.095833333333335,18.0,2.6595224766716217,15.33,18.0,0.0,2.12,0.403,0.43,0.4960577358644098,0.0,0.5525,16.25,25.5,21.058416666666666,21.0,2.3263080700317147,19.0,23.5,0.0,2.12,0.5030833333333333,0.47,0.4179196091593307,0.0,0.83,42.0,48.0,44.78491666666667,44.5,1.2258079111402422,44.33,44.67,0.0,1.5,0.4335833333333333,0.5,0.2193987039991958,0.43,0.5,1.5,24.0,16.13275,17.75,4.040738338909045,15.0,18.0625,0.0,2.5,0.4613333333333333,0.43,0.5284350342607632,0.0,0.71,18.75,25.5,22.050833333333333,21.415,1.5417274952039313,21.0,23.69,0.0,1.92,0.4365,0.43,0.3999089182015613,0.0,0.71,36.25,48.0,44.119166666666665,44.5,2.138911834913962,43.67,44.75,0.0,1.25,0.46158333333333335,0.47,0.25069649477604844,0.43,0.5,3.0,22.0,14.544833333333333,15.0,3.670820892172344,12.25,16.75,0.0,3.56,0.8781666666666667,0.71,0.8641194899996171,0.30000000000000004,1.3,13.75,26.0,21.71325,22.0,2.2456161447914242,21.0,23.5,0.0,2.96,0.735,0.7649999999999999,0.5227577165878099,0.45999999999999996,0.94,1
21.0,26.5,24.7185,24.75,1.1204415771164031,24.0,25.5,0.0,1.12,0.42891666666666667,0.44999999999999996,0.25059189036799917,0.43,0.5,2.75,19.75,12.171916666666666,12.415,3.517023974904924,9.31,14.3725,0.0,5.89,0.80475,0.47,0.97887429987613,0.0,1.09,9.0,33.5,22.113333333333333,21.5,6.305280211332193,17.9375,27.8125,0.0,13.61,1.72925,1.12,1.868267593927864,0.71,2.075,22.75,50.0,39.310249999999996,42.0,6.702921282432566,36.0,44.5,0.0,9.9,0.7468333333333333,0.47,1.28306747946581,0.0,0.84,4.5,28.25,17.803833333333333,17.75,5.467811720789734,14.9375,22.0625,0.0,7.4,1.0251666666666666,0.5,1.3548679636331915,0.43,1.2275,5.0,33.75,22.321,23.25,5.479483874363695,19.9375,25.27,0.0,7.63,1.3468333333333333,0.94,1.3534611611885794,0.47,1.6375,27.0,36.0,33.03066666666667,33.0,1.2243789256195974,33.0,33.15,0.0,1.87,0.47891666666666666,0.0,0.5889369369349101,0.0,1.205,3.0,24.33,17.109833333333334,17.5,4.320390385281462,15.0,20.5425,0.0,4.92,0.78525,0.47,0.9300519209325101,0.0,1.0925,6.5,24.0,18.3385,18.0,3.966790216516212,15.5,22.25,0.0,6.02,0.9105833333333333,0.82,1.0164018723450103,0.47,1.0075,32.67,35.0,33.28541666666667,33.0,0.49922780006580547,33.0,33.75,0.0,1.5,0.4098333333333333,0.0,0.6179186851039224,0.0,1.3,0.0,18.25,8.680916666666667,8.71,4.707652271457991,5.0,12.75,0.0,3.4,0.8604166666666666,0.71,0.7421922963504167,0.43,1.12,11.5,21.0,18.61,18.5,1.4956070125987149,18.25,19.5,0.0,2.17,0.6615,0.5,0.348580916663814,0.47,0.83,1
30.0,33.0,31.481,31.5,0.7186640266447719,31.0,32.0,0.0,1.0,0.5139166666666667,0.5,0.23395861098207318,0.47,0.5,0.0,14.5,8.32125,9.125,3.963209072893101,5.33,11.33,0.0,4.44,0.8196666666666667,0.5,0.8354035238248921,0.43,0.955,11.0,23.25,18.828416666666666,18.25,2.139564078680213,17.67,20.0,0.0,6.4,0.7336666666666667,0.5,0.770842530795307,0.47,0.84,29.0,30.67,29.943833333333334,30.0,0.24311419087318115,30.0,30.0,0.0,0.5,0.08399999999999999,0.0,0.17850170067217036,0.0,0.0,1.0,12.0,5.793166666666667,5.67,2.6968777413558684,4.0,7.0825,0.0,3.56,0.64325,0.47,0.6838535920020581,0.43,0.8225,12.5,20.5,16.911166666666666,16.67,1.427013796482059,16.0,17.8125,0.0,1.87,0.717,0.82,0.3557513058256271,0.47,0.94,28.25,30.0,29.354916666666668,29.25,0.5378294313245419,29.0,30.0,0.0,0.5,0.16466666666666666,0.0,0.22198846715949178,0.0,0.43,4.0,12.75,8.190166666666666,7.625,2.915371312192527,5.1875,11.5,0.0,2.28,0.28341666666666665,0.0,0.3843744144401272,0.0,0.47,15.5,20.33,17.755583333333334,18.0,1.0982689173631106,16.9375,18.5,0.0,1.5,0.6346666666666667,0.5,0.331847219411,0.47,0.94,27.5,30.0,28.748,28.75,0.5788159458408727,28.33,29.0,0.0,0.87,0.26316666666666666,0.43,0.25495092074514164,0.0,0.47,0.0,13.67,10.360416666666667,10.75,2.1429714687056087,9.33,12.0,0.0,2.5,0.43224999999999997,0.43,0.43633204244073587,0.0,0.5,15.75,21.33,18.976416666666665,19.0,1.2637497863141118,18.25,20.0,0.0,1.48,0.7211666666666666,0.83,0.30759621937479903,0.47,0.94,1
25.25,38.25,28.692583333333335,27.0,3.1926408277759775,27.0,30.0,0.0,3.67,0.3215,0.0,0.5492143357147751,0.0,0.47,0.0,21.25,6.929,6.375,6.716495985208935,0.0,11.5425,0.0,3.3,0.475,0.0,0.699881142370173,0.0,0.71,10.25,27.0,18.040583333333334,18.0,2.7754800616882718,17.25,19.0,0.0,6.02,0.8260833333333333,0.82,0.7693905651466584,0.47,0.94,19.0,39.25,29.687166666666666,28.665,8.181237828651824,21.0,38.3125,0.0,4.33,0.6725833333333333,0.47,0.842282309439963,0.0,0.8875,0.0,25.33,14.762583333333334,15.665,7.768913002260656,7.0,21.3375,0.0,4.02,0.8699166666666667,0.485,0.9528766670335836,0.0,1.3,5.5,30.0,18.197166666666668,18.0,5.138976320148555,15.4575,21.8125,0.0,6.73,1.3735,0.83,1.401737007664228,0.47,2.0524999999999998,20.0,43.75,26.709583333333335,27.0,5.139934668491276,21.0,30.0,0.0,6.4,0.4525,0.43,0.8323988317663904,0.0,0.5,5.75,23.5,15.984666666666667,16.125,2.941076785985777,14.75,18.0,0.0,5.76,0.9674166666666667,0.71,0.9994641386391866,0.43,1.3,1.67,21.75,13.834833333333334,14.5,3.687758532930119,11.6875,16.0625,0.0,4.15,1.2536666666666667,1.045,0.9705910296199483,0.5,1.5,27.0,45.5,38.66308333333333,42.0,7.018422791510366,32.0625,44.69,0.0,4.92,0.4220833333333333,0.43,0.6332892602238305,0.0,0.5,7.0,32.75,20.683083333333332,21.75,4.706794087405194,15.75,24.25,0.0,11.42,0.7978333333333333,0.47,1.266935151407187,0.0,0.87,12.75,36.0,23.48375,25.0,6.5268279016673345,16.362499999999997,28.625,0.0,5.61,0.9761666666666666,0.82,1.0066294398295998,0.43,1.2275,1
26.75,47.5,38.492916666666666,39.415,3.5755129844878053,36.5025,40.67,0.0,6.38,0.8376666666666667,0.71,0.8393642385341253,0.47,1.0,8.0,28.33,21.074916666666667,22.25,3.838843925203632,18.9375,24.0,0.0,5.32,0.8270833333333333,0.485,0.9822058828771815,0.0,1.22,11.0,40.33,25.400916666666667,26.375,5.399868656328804,22.4375,29.25,0.0,3.74,0.9844166666666667,0.82,0.8925299663856437,0.43,1.22,25.0,32.5,29.72833333333333,30.0,0.8160082522788057,29.4575,30.0,0.0,1.5,0.21933333333333332,0.0,0.35133056409328606,0.0,0.43,2.33,21.0,12.918833333333334,14.0,4.166690681163289,10.5,15.0,0.0,4.44,0.9299999999999999,0.7649999999999999,0.8690185713268298,0.43,1.3275000000000001,0.0,24.0,10.41525,10.0,5.400373463976375,7.0,12.75,0.0,4.71,1.0080833333333332,0.87,0.7301678129128985,0.5,1.3,27.0,32.0,28.555583333333335,28.25,1.2521744420540342,27.5,29.69,0.0,1.5,0.3264166666666667,0.43,0.3070537571890653,0.0,0.4775,2.0,19.0,13.359166666666667,14.25,3.1872188512247237,13.0,15.0,0.0,3.7,0.8101666666666667,0.605,0.8301462697209774,0.43,1.0,4.25,15.75,12.6695,13.415,2.5586816622509905,12.4375,14.25,0.0,4.92,1.2170833333333333,1.0950000000000002,0.7924458424178051,0.83,1.41,25.0,33.0,27.456166666666668,27.0,1.3983262403708958,27.0,28.0,0.0,2.18,0.23841666666666667,0.0,0.33548909695200185,0.0,0.47,2.75,18.67,13.83375,14.415,2.6076075072304707,12.73,15.25,0.0,5.15,0.7269166666666667,0.47,0.9201231154682772,0.0,0.83,0.0,18.25,9.143083333333333,9.0,3.8019534554003696,6.9175,11.75,0.0,4.5,1.1828333333333334,1.0,0.884546300010771,0.5,1.4849999999999999,1
26.0,41.75,36.18116666666667,36.0,3.06968730330241,34.4375,38.33,0.0,7.52,2.6098333333333334,2.415,1.4980805552906884,1.41,3.4375,8.75,23.0,15.451583333333334,15.0,3.26379373932072,13.5,17.27,0.0,7.41,3.2131666666666665,3.175,1.7318387679594436,1.85,4.5125,2.5,21.25,15.036833333333334,15.5,3.198697997553352,13.31,17.0,0.0,9.98,3.548,3.275,1.9178601521031737,2.1325000000000003,4.975,27.0,44.0,36.18525,35.5,3.5748392365569255,33.6275,39.25,0.0,9.65,2.8973333333333335,2.415,1.735876856053952,1.73,4.029999999999999,5.5,22.25,15.395666666666667,15.25,3.145837514791217,13.4575,17.5425,0.0,8.23,3.101583333333333,2.77,1.6797443762274626,1.7,4.4925,7.0,21.75,15.895583333333333,16.0,2.7509673763245983,14.0,17.8125,0.0,7.5,3.4240833333333334,3.3449999999999998,1.6733800624285364,2.3,4.255,28.67,44.0,36.203833333333336,35.875,3.771543424636865,33.31,39.269999999999996,0.0,12.28,2.9839166666666666,2.17,2.1694890758286975,1.5,4.16,8.0,20.25,14.036583333333333,14.25,2.690618152658858,11.9375,15.75,0.43,8.03,2.9768333333333334,2.94,1.4058030889601758,1.89,3.7925,7.5,22.75,15.735416666666667,15.875,3.014145333894425,13.5,18.25,0.0,8.61,3.716666666666667,3.6550000000000002,1.883097454304732,2.4250000000000003,4.79,19.0,43.5,36.343333333333334,36.0,3.697754788542701,34.31,39.0,0.0,10.53,2.8356666666666666,2.12,2.070401955588113,1.4625,3.9,8.0,25.25,16.814166666666665,17.0,3.291260794748361,14.67,19.0625,0.0,9.5,3.1849166666666666,2.8899999999999997,1.8913536106165225,1.7,4.24,6.0,24.5,16.821666666666665,17.0,3.4419264523056325,14.4375,19.27,0.0,8.26,3.234,2.96,1.815878332280844,1.7975,4.345,1
