min_avg_RSS12_1,max_avg_RSS12_1,mean_avg_RSS12_1,median_avg_RSS12_1,standard deviation_avg_RSS12_1,1st quart_avg_RSS12_1,3rd quart_avg_RSS12_1,min_var_RSS12_1,max_var_RSS12_1,mean_var_RSS12_1,median_var_RSS12_1,standard deviation_var_RSS12_1,1st quart_var_RSS12_1,3rd quart_var_RSS12_1,min_avg_RSS13_1,max_avg_RSS13_1,mean_avg_RSS13_1,median_avg_RSS13_1,standard deviation_avg_RSS13_1,1st quart_avg_RSS13_1,3rd quart_avg_RSS13_1,min_var_RSS13_1,max_var_RSS13_1,mean_var_RSS13_1,median_var_RSS13_1,standard deviation_var_RSS13_1,1st quart_var_RSS13_1,3rd quart_var_RSS13_1,min_avg_RSS23_1,max_avg_RSS23_1,mean_avg_RSS23_1,median_avg_RSS23_1,standard deviation_avg_RSS23_1,1st quart_avg_RSS23_1,3rd quart_avg_RSS23_1,min_var_RSS23_1,max_var_RSS23_1,mean_var_RSS23_1,median_var_RSS23_1,standard deviation_var_RSS23_1,1st quart_var_RSS23_1,3rd quart_var_RSS23_1,bending
37.25,45,40.62479167,40.5,1.476966916,39.25,42,0,1.3,0.358604167,0.43,0.322604759,0,0.5,4,29.5,19.0409375,19.25,4.462951989,16,23.25,0,7.23,0.832541667,0.5,0.965658882,0,1.12,27.25,38.25,34.31129167,35,2.188448607,33,36,0,1.92,0.570583333,0.43,0.582915494,0,1.3,1
38,45.67,42.8128125,42.5,1.435549914,42,43.67,0,1.22,0.3724375,0.47,0.28915848,0,0.5,2,29.5,20.09697917,21,3.893736719,19,22.25,0,5.76,0.8764375,0.5,1.047258682,0,1.145,27.67,38.5,33.02458333,33,1.995254556,32,34.5,0,3.11,0.571083333,0.43,0.601009653,0,1.3,1
12.75,51,24.56295833,24.25,3.737514106,23.1875,26.5,0,6.87,0.590833333,0.43,0.837408103,0,0.71,0,25.33,19.12133333,20.25,4.299612437,18,22,0,6.76,0.736770833,0.47,0.927047635,0,0.87,10.67,30,23.49304167,23.75,3.693785776,20.5,27,0,4.97,0.7001875,0.5,0.69371994,0.43,0.87,1
0,42.75,27.46460417,28,3.583582294,25.5,30,0,7.76,0.449708333,0.43,0.767196669,0,0.5,7.5,35,20.84254167,20.75,3.826268261,18,22.5,0,5.76,0.779916667,0.5,0.904435829,0,0.94,0,33,17.6179375,18,5.053641912,15,20.75,0,6.76,1.122125,0.83,1.012341828,0.47,1.3,1
24.25,45,37.17704167,36.25,3.581301066,34.5,40.25,0,8.58,2.374208333,1.92,1.601799288,1.3,3.13,5.5,26.75,16.53108333,16.67,3.430906451,14.25,19,0,8.05,2.910604167,2.62,1.60013708,1.64,3.9175,7,25.5,19.60725,20,2.890347253,17.95,21.75,0,9.34,2.921729167,2.5,1.85259997,1.5,3.9,0
28.75,44.75,37.5611875,36.875,3.226506938,35.25,40.25,0,9.91,2.0806875,1.7,1.639257605,1.12,2.87,6.5,24.67,16.56704167,17,3.691401225,14,19.5,0,8.32,3.033875,2.95,1.62541454,1.79,4.03,10.5,24.33,19.51889583,20,2.727376907,18,21.5,0,9.62,2.765895833,2.45,1.769202558,1.41,3.77,0
22,44.67,37.05870833,36,3.710179699,34.5,40.0625,0,14.17,2.438145833,1.92,1.99688727,1.25,3.35,6.33,24,16.3883125,16.5,3.537950332,13.75,19,0,9.74,2.9806875,2.86,1.6120586,1.79,4,7.5,24.25,18.12595833,18.875,3.537143841,16,21,0,8.55,2.98375,2.57,1.815729723,1.5,4.15,0
19.33,43.5,34.22777083,35.5,4.889576386,30.5,37.75,0,14.5,3.995729167,3.63,2.271101902,2.375,5.3425,5.5,23.5,15.71308333,15.75,2.839694931,14,17.67,0,8.86,3.3038125,3.2,1.667284695,2.05,4.44,6.75,26,16.62116667,16.67,3.092093745,14.75,18.67,0,9.74,3.394125,3.1,1.792089806,2.105,4.425,0
12.5,45,33.50972917,34.125,4.85092322,30.5,36.75,0,13.05,4.450770833,4.085,2.338684664,2.74,5.89,5.75,23.75,15.55777083,15.635,2.912404295,13.6275,17.5,0,9.1,3.350854167,3.11,1.664377952,2.1675,4.44,7.25,25,16.541375,16.75,3.13356437,14.6275,18.75,0,8.96,3.378479167,3.085,1.787359811,2.06,4.44,0
15,46.75,34.66058333,35,5.315110071,31,38.25,0,13.44,4.200895833,3.9,2.480206114,2.3425,5.6725,5,25.25,15.2231875,15.25,3.10101735,13.25,17.33,0,8.58,3.1113125,2.87,1.688744684,1.8,4.09,7,24.5,16.25104167,16.33,3.155015121,14.25,18.5,0,8.99,3.244395833,3,1.6309833,2.12,4.24,0
