min_avg_RSS12_1,max_avg_RSS12_1,mean_avg_RSS12_1,median_avg_RSS12_1,standard deviation_avg_RSS12_1,1st quart_avg_RSS12_1,3rd quart_avg_RSS12_1,min_var_RSS12_1,max_var_RSS12_1,mean_var_RSS12_1,median_var_RSS12_1,standard deviation_var_RSS12_1,1st quart_var_RSS12_1,3rd quart_var_RSS12_1,min_avg_RSS13_1,max_avg_RSS13_1,mean_avg_RSS13_1,median_avg_RSS13_1,standard deviation_avg_RSS13_1,1st quart_avg_RSS13_1,3rd quart_avg_RSS13_1,min_var_RSS13_1,max_var_RSS13_1,mean_var_RSS13_1,median_var_RSS13_1,standard deviation_var_RSS13_1,1st quart_var_RSS13_1,3rd quart_var_RSS13_1,min_avg_RSS23_1,max_avg_RSS23_1,mean_avg_RSS23_1,median_avg_RSS23_1,standard deviation_avg_RSS23_1,1st quart_avg_RSS23_1,3rd quart_avg_RSS23_1,min_var_RSS23_1,max_var_RSS23_1,mean_var_RSS23_1,median_var_RSS23_1,standard deviation_var_RSS23_1,1st quart_var_RSS23_1,3rd quart_var_RSS23_1,min_avg_RSS12_2,max_avg_RSS12_2,mean_avg_RSS12_2,median_avg_RSS12_2,standard deviation_avg_RSS12_2,1st quart_avg_RSS12_2,3rd quart_avg_RSS12_2,min_var_RSS12_2,max_var_RSS12_2,mean_var_RSS12_2,median_var_RSS12_2,standard deviation_var_RSS12_2,1st quart_var_RSS12_2,3rd quart_var_RSS12_2,min_avg_RSS13_2,max_avg_RSS13_2,mean_avg_RSS13_2,median_avg_RSS13_2,standard deviation_avg_RSS13_2,1st quart_avg_RSS13_2,3rd quart_avg_RSS13_2,min_var_RSS13_2,max_var_RSS13_2,mean_var_RSS13_2,median_var_RSS13_2,standard deviation_var_RSS13_2,1st quart_var_RSS13_2,3rd quart_var_RSS13_2,min_avg_RSS23_2,max_avg_RSS23_2,mean_avg_RSS23_2,median_avg_RSS23_2,standard deviation_avg_RSS23_2,1st quart_avg_RSS23_2,3rd quart_avg_RSS23_2,min_var_RSS23_2,max_var_RSS23_2,mean_var_RSS23_2,median_var_RSS23_2,standard deviation_var_RSS23_2,1st quart_var_RSS23_2,3rd quart_var_RSS23_2,bending
38,42.33,40.94695833,41.25,1.102962689,40.31,42,0,1.22,0.375666667,0.47,0.328088756,0,0.5,4,25.67,17.67258333,18,4.06316065,15.9375,20.25,0,7.23,0.588625,0.43,0.817855769,0,0.8225,32.5,36.17,34.50420833,34.5,1.212039068,33,36,0,1.5,0.589,0,0.647855684,0,1.3,37.25,45,40.302625,39.415,1.716686316,39,42,0,1.3,0.341541667,0.43,0.316790452,0,0.5,8,29.5,20.40929167,21.5,4.432774559,17.75,24,0,5.5,1.076458333,0.82,1.039480256,0.43,1.425,27.25,38.25,34.118375,35.415,2.83811024,31.31,36.5,0,1.92,0.552166667,0.43,0.510494359,0,0.94,1
41.75,44.25,42.64329167,42.5,0.641849119,42,43.33,0,0.94,0.355,0.47,0.258298261,0,0.5,7,25.33,20.36966667,21,2.693039823,19.75,21.5,0,5.5,0.643625,0.43,0.904335782,0,0.83,30,36,33.74745833,33.71,1.308788046,33,35,0,1.5,0.608583333,0.43,0.624833763,0,1.3,38,45.67,42.98233333,43.375,1.913254903,42,44.69,0,1.22,0.389875,0.47,0.316617163,0,0.5,2,29.5,19.82429167,21.125,4.794163589,18.1875,23,0,5.76,1.10925,0.83,1.127568319,0.43,1.5,27.67,38.5,32.30170833,32,2.2839315,30,33.75,0,3.11,0.533583333,0.43,0.575060915,0,0.87,1
12.75,51,24.675375,24.33,4.856867444,22.25,26.75,0,6.87,0.7745,0.43,1.085014586,0,0.83,2.75,25.33,18.64854167,18.585,3.636118321,17.25,21,0,6,0.615458333,0.47,0.780667426,0,0.83,15.2,30,26.457875,27,1.992035414,25.75,27.5,0,2.64,0.463458333,0.47,0.425993447,0,0.71,17.5,27.5,24.45054167,24.25,2.093305757,23.5,26.5,0,2.77,0.407166667,0.43,0.400540813,0,0.5,0,24,19.594125,21,4.835327639,18.75,22.27,0,6.76,0.858083333,0.5,1.040880538,0.3225,1,10.67,26.75,20.52820833,20.67,2.392270441,19.4575,21.75,0,4.97,0.936916667,0.81,0.818833026,0.47,1.0975,1
26.5,31.33,29.07158333,29.5,1.133954458,28.25,30,0,1.25,0.231208333,0,0.265204978,0,0.43,7.5,24,19.427625,19.875,2.488367032,18,21,0,5.76,0.576041667,0.47,0.730268305,0,0.8225,12.5,24,18.51504167,18.67,2.448040972,16.75,20.69,0,4.03,0.771,0.82,0.521568924,0.47,1,0,42.75,25.857625,25.5,4.389263025,23.5,28,0,7.76,0.668208333,0.47,1.006690858,0,0.83,11.25,35,22.25745833,21.75,4.373695502,19,25.5,0,4.76,0.983791667,0.71,1.011267173,0.43,1.3,0,33,16.72083333,16.5,6.601228754,12.33,20.7625,0,6.76,1.47325,1.22,1.238675337,0.5,1.9525,1
24.25,45,36.95420833,36,3.772835992,34.25,40.25,0,8.18,2.392666667,1.92,1.523328899,1.3,3.27,5.5,26.75,17.12154167,17.33,3.603284955,15,19.25,0,8.05,2.995083333,2.77,1.622255002,1.7225,4.06,7,25.5,19.57058333,20,3.064787814,17.75,21.75,0,9.07,3.005375,2.65,1.813727946,1.7525,3.9375,29,44.67,37.399875,36.5,3.372103559,35,40.25,0,8.58,2.35575,1.92,1.679595818,1.3,3.0075,6.75,23,15.940625,16,3.147638423,13.75,18.25,0,7.83,2.826125,2.57,1.576561451,1.6375,3.77,11.75,24.5,19.64391667,20.125,2.710635429,18,21.67,0,9.34,2.838083333,2.45,1.890754557,1.3825,3.8325,0
29.25,44.75,37.59225,37,3.12717913,35.25,39.75,0,8.95,2.111625,1.715,1.574180356,1.25,2.8625,6.67,24,16.20070833,16.5,3.099329648,14.25,18.5,0,8.17,3.172,3.1,1.617609218,1.98,4.24,11.33,23.75,19.26345833,20,2.791431922,17.75,21.25,0,8.57,2.785375,2.49,1.71463009,1.41,3.77,28.75,44,37.530125,36.5,3.329123734,35.25,40.67,0,9.91,2.04975,1.54,1.704584496,0.87,2.87,6.5,24.67,16.933375,17.5,4.175467987,13.75,20.25,0,8.32,2.89575,2.76,1.624814717,1.6175,3.91,10.5,24.33,19.77433333,20.29,2.642945052,18.25,21.5425,0,9.62,2.746416667,2.335,1.825522815,1.3825,3.74,0
28,44.67,37.74066667,36.71,3.536378128,35.25,40.75,0,12.99,2.147166667,1.5,1.9933478,0.87,3.115,6.33,24,16.47208333,16.79,3.963206173,13.5,19.7625,0,7.5,2.879458333,2.64,1.595135426,1.7,3.97,10,24.25,19.63025,20.25,2.773136515,18.5,21.71,0,7.87,2.618958333,2.21,1.684705802,1.3,3.67,22,44,36.37675,35.71,3.76144472,34,39.5,0,14.17,2.729125,2.175,1.961713575,1.41,3.785,7,24,16.30454167,16.25,3.06030405,14,18.25,0,9.74,3.081916667,2.955,1.625823407,1.9125,4.03,7.5,23.75,16.62166667,16.875,3.583310298,14.1875,19.3125,0,8.55,3.348541667,3.27,1.871376543,1.79,4.635,0
22.33,42.5,34.33483333,35.75,4.772088915,30.475,37.75,0,12.19,3.974958333,3.63,2.340612515,2.255,5.36,5.5,23,15.91954167,16,2.840429906,14.31,17.75,0,8.73,3.234583333,3.04,1.609066829,2.0575,4.2075,7.33,25,16.55695833,16.5,3.044401872,14.69,18.75,0,9.74,3.3875,3.155,1.78359716,2.15,4.305,19.33,43.5,34.12070833,35.25,5.011995059,30.5,37.5425,0,14.5,4.0165,3.63,2.204099699,2.48,5.2125,7.33,23.5,15.506625,15.75,2.829810206,13.6275,17.25,0,8.86,3.373041667,3.295,1.724118936,1.9125,4.5,6.75,26,16.685375,16.71,3.144110231,14.75,18.5,0,8.86,3.40075,3.08,1.80424565,2.06,4.5,0
18.67,45,33.76295833,34.5,5.00129205,30.75,37.3125,0.43,13.05,4.400833333,3.92,2.456623046,2.45,6.02,5.75,23.75,15.55445833,15.75,3.035842186,13.4575,17.5,0,9.1,3.370083333,3.135,1.745752285,2.15,4.5,7.25,25,16.33291667,16.45,3.098164633,14.5,18.3725,0,8.46,3.378708333,3.08,1.77489006,2.06,4.4175,12.5,43.25,33.2565,33.75,4.692511198,30.4375,36.5,0,12.85,4.500708333,4.24,2.218506584,3.0675,5.7675,7.25,23.75,15.56108333,15.5,2.78986159,13.73,17.5,0,9,3.331625,3.09,1.582246782,2.17,4.245,8.75,24.25,16.74983333,17,3.161271653,14.73,18.8125,0,8.96,3.37825,3.11,1.803452831,2.0575,4.455,0
15,45.33,33.591625,34.25,5.121056812,30,37,0,12.53,4.573041667,4.165,2.382139153,2.665,6.0125,7.25,23.25,15.48104167,15.5,2.901939792,13.5,17.3725,0,8.52,3.138166667,2.85,1.734568536,1.7975,4.065,7,23.75,16.24466667,16.33,3.09991252,14.25,18.27,0,8.99,3.281958333,3.015,1.549884028,2.28,4.21,21.5,46.75,35.72954167,36,5.300836142,31.7875,39.5,0,13.44,3.82875,3.275,2.525044948,2.0175,5.4325,5,25.25,14.96533333,15,3.273845495,13,17.25,0,8.58,3.084458333,2.87,1.644832315,1.87,4.15,7,24.5,16.25741667,16.33,3.215641557,14.1875,18.5,0,8.26,3.206833333,2.98,1.710663324,1.98,4.245,0
