min_avg_RSS12_1,max_avg_RSS12_1,mean_avg_RSS12_1,median_avg_RSS12_1,standard deviation_avg_RSS12_1,1st quart_avg_RSS12_1,3rd quart_avg_RSS12_1,min_var_RSS12_1,max_var_RSS12_1,mean_var_RSS12_1,median_var_RSS12_1,standard deviation_var_RSS12_1,1st quart_var_RSS12_1,3rd quart_var_RSS12_1,min_avg_RSS13_1,max_avg_RSS13_1,mean_avg_RSS13_1,median_avg_RSS13_1,standard deviation_avg_RSS13_1,1st quart_avg_RSS13_1,3rd quart_avg_RSS13_1,min_var_RSS13_1,max_var_RSS13_1,mean_var_RSS13_1,median_var_RSS13_1,standard deviation_var_RSS13_1,1st quart_var_RSS13_1,3rd quart_var_RSS13_1,min_avg_RSS23_1,max_avg_RSS23_1,mean_avg_RSS23_1,median_avg_RSS23_1,standard deviation_avg_RSS23_1,1st quart_avg_RSS23_1,3rd quart_avg_RSS23_1,min_var_RSS23_1,max_var_RSS23_1,mean_var_RSS23_1,median_var_RSS23_1,standard deviation_var_RSS23_1,1st quart_var_RSS23_1,3rd quart_var_RSS23_1,min_avg_RSS12_2,max_avg_RSS12_2,mean_avg_RSS12_2,median_avg_RSS12_2,standard deviation_avg_RSS12_2,1st quart_avg_RSS12_2,3rd quart_avg_RSS12_2,min_var_RSS12_2,max_var_RSS12_2,mean_var_RSS12_2,median_var_RSS12_2,standard deviation_var_RSS12_2,1st quart_var_RSS12_2,3rd quart_var_RSS12_2,min_avg_RSS13_2,max_avg_RSS13_2,mean_avg_RSS13_2,median_avg_RSS13_2,standard deviation_avg_RSS13_2,1st quart_avg_RSS13_2,3rd quart_avg_RSS13_2,min_var_RSS13_2,max_var_RSS13_2,mean_var_RSS13_2,median_var_RSS13_2,standard deviation_var_RSS13_2,1st quart_var_RSS13_2,3rd quart_var_RSS13_2,min_avg_RSS23_2,max_avg_RSS23_2,mean_avg_RSS23_2,median_avg_RSS23_2,standard deviation_avg_RSS23_2,1st quart_avg_RSS23_2,3rd quart_avg_RSS23_2,min_var_RSS23_2,max_var_RSS23_2,mean_var_RSS23_2,median_var_RSS23_2,standard deviation_var_RSS23_2,1st quart_var_RSS23_2,3rd quart_var_RSS23_2,min_avg_RSS12_3,max_avg_RSS12_3,mean_avg_RSS12_3,median_avg_RSS12_3,standard deviation_avg_RSS12_3,1st quart_avg_RSS12_3,3rd quart_avg_RSS12_3,min_var_RSS12_3,max_var_RSS12_3,mean_var_RSS12_3,median_var_RSS12_3,standard deviation_var_RSS12_3,1st quart_var_RSS12_3,3rd quart_var_RSS12_3,min_avg_RSS13_3,max_avg_RSS13_3,mean_avg_RSS13_3,median_avg_RSS13_3,standard deviation_avg_RSS13_3,1st quart_avg_RSS13_3,3rd quart_avg_RSS13_3,min_var_RSS13_3,max_var_RSS13_3,mean_var_RSS13_3,median_var_RSS13_3,standard deviation_var_RSS13_3,1st quart_var_RSS13_3,3rd quart_var_RSS13_3,min_avg_RSS23_3,max_avg_RSS23_3,mean_avg_RSS23_3,median_avg_RSS23_3,standard deviation_avg_RSS23_3,1st quart_avg_RSS23_3,3rd quart_avg_RSS23_3,min_var_RSS23_3,max_var_RSS23_3,mean_var_RSS23_3,median_var_RSS23_3,standard deviation_var_RSS23_3,1st quart_var_RSS23_3,3rd quart_var_RSS23_3,bending
38.75,42.33,41.3625625,42,0.954146361,41,42,0,1.22,0.256125,0,0.292647829,0,0.5,4,24,18.3270625,18.75,3.587579482,16,20.5,0,7.23,0.5811875,0.43,0.793411052,0,0.805,32.5,36,34.0510625,33.75,1.090350816,33,35,0,1.5,0.6515,0.43,0.647472299,0,1.3,37.25,41.75,39.6205625,39.5,0.899661185,39,40.5,0,1.3,0.5015625,0.5,0.315822868,0.43,0.83,4,27.25,17.78775,17,4.815418626,15.4575,22,0,4.55,0.910125,0.5,0.987287745,0,1.3,32.75,37.75,35.834,36,0.970557254,35.9375,36.25,0,1.92,0.551375,0.43,0.577145968,0,1,38.33,45,40.89125,40.875,1.79386542,39.25,42,0,1.3,0.318125,0.43,0.308806156,0,0.5,8.75,29.5,21.008,22,4.237750501,18.75,24.25,0,5.5,1.0063125,0.71,1.051172225,0.43,1.2275,27.25,38.25,33.0488125,32.625,2.879595834,30,36,0,1.87,0.508875,0.43,0.510427109,0,0.83,1
41.75,44.25,42.92175,43,0.612031929,42.4575,43.5,0,0.94,0.4684375,0.5,0.202144313,0.46,0.5,7,25.33,19.9269375,20.5,3.187206935,18.6275,21.3725,0,5.5,0.8346875,0.47,1.039562633,0,1.09,30,36,33.482875,33,1.356616855,33,34.5,0,1.5,0.5056875,0.215,0.589609851,0,1.3,38,45,41.7014375,42,1.095617253,41.75,42,0,1.22,0.2514375,0,0.321963018,0,0.47,2,29.5,20.4998125,21,3.262898058,20.75,21.69,0,5.76,0.7168125,0.43,0.958307189,0,0.955,28,38.5,33.917375,33.875,2.025385277,33,35.25,0,3.11,0.8051875,0.87,0.638896427,0,1.3,38.5,45.67,43.81525,44.5,1.53860549,43,45,0,1.12,0.3974375,0.47,0.287630193,0,0.5,6,26.75,19.8641875,21.5,4.96211122,17.9375,24,0,5.72,1.0778125,0.83,1.112116613,0.43,1.4275,27.67,36.67,31.6735,31.5,1.788925471,30,33,0,2.62,0.402375,0.43,0.494225126,0,0.5,1
12.75,27,22.6099375,23.75,3.095681816,21,24.33,0,6.76,0.8711875,0.5,1.095288579,0.43,0.94,5.67,24.75,19.152,19.5,3.515329019,18,21.5,0,4.82,0.6034375,0.47,0.751597918,0,0.83,15.2,28.33,25.928375,26.5,1.743409112,25.25,27,0,2.64,0.5363125,0.5,0.430981944,0.43,0.83,17.5,51,25.7495625,24.75,4.934622815,23.375,27.75,0,6.87,0.6040625,0.43,0.817506792,0.43,0.5,2.75,25.33,18.9608125,18.875,3.325188409,17.5,21.0625,0,6,0.8043125,0.5,0.991953553,0.3225,1,14.75,30,24.2230625,24.75,3.99493075,20.6275,28,0,4.74,0.7296875,0.47,0.823481199,0,0.8875,21.33,27.5,25.329375,25.75,1.517479575,24,26.75,0,0.94,0.29725,0.43,0.280359047,0,0.47,0,24,19.2511875,21.33,5.677523972,18.25,22.75,0,6.76,0.8025625,0.47,1.006655367,0,0.8875,10.67,24,20.3276875,20.585,2.349025818,19.5,21.75,0,4.97,0.8345625,0.71,0.734750928,0.47,1,1
26.5,30,28.792875,29.25,1.171330688,27.6275,30,0,0.94,0.211625,0,0.236587074,0,0.43,7.5,24,19.547875,20.29,2.73512958,18,21,0,5.76,0.613125,0.43,0.855143658,0,0.83,12.5,22.5,17.33925,17.5,2.044687717,15.75,18.75,0,4.03,0.863625,0.83,0.543705534,0.47,1.12,20.67,31.33,28.6320625,29.25,1.837640371,27.5,30,0,1.62,0.309125,0.43,0.352729496,0,0.5,14.75,28,19.721375,19.75,2.365553238,18,21,0,2.49,0.61175,0.5,0.510276223,0.43,0.83,0,24,19.210625,20.5,3.433608346,18.33,21,0,3.86,0.787625,0.82,0.616264347,0.43,1.12,0,42.75,24.968875,24,4.952172763,22.67,26,0,7.76,0.828375,0.47,1.171138718,0.43,0.87,11.25,35,23.258375,23.75,4.712089214,19.9375,26.8125,0,4.76,1.114875,0.83,1.141619168,0.43,1.5,0,33,16.3039375,14.875,7.523330847,10.645,22,0,6.76,1.715125,1.3,1.370512454,0.71,2.5225,1
29.33,44.5,36.79475,35.875,3.722530239,34,39.8125,0,8.18,2.4598125,2.085,1.540434665,1.3,3.27,8.5,26.75,17.5693125,17.585,3.378547588,15.67,19.5425,0,8.05,3.0638125,2.86,1.692850995,2.05,4.105,7,24.67,19.1185,19.71,3.18788039,16.75,21.5,0,8.26,2.9545625,2.57,1.709877647,1.79,3.9025,24.25,45,37.3584375,36.25,3.743678705,34.6275,40.75,0,7.56,2.3613125,1.79,1.628235191,1.3,3.05,5.5,23.75,16.0188125,16.585,3.747882483,13.4575,18.5625,0,7.83,3.0451875,2.77,1.583388204,1.7,4.0225,12.5,25.5,20.0125,20.5,2.78552119,18.25,22.0625,0,9.07,3.0526875,2.71,1.953300616,1.5,4.0825,29,44.67,37.3779375,36.55,3.247357338,35.25,40.0625,0,8.58,2.3015,1.92,1.640916372,1.3,3.05,9.5,23,16.005125,15.71,2.893626044,14,18,0,7.43,2.6228125,2.45,1.488444873,1.5,3.58,11.75,24.33,19.69075,20.25,2.614008356,18,21.5,0,9.34,2.7579375,2.36,1.885509823,1.3,3.695,0
29.25,44,37.5218125,37,3.055485195,35.25,39.5425,0,8.95,2.1565,1.79,1.517328918,1.3,2.8925,6.67,21.5,16.0796875,16.29,2.905211847,14.31,18.25,0,8.17,3.2816875,3.33,1.677220755,2.1325,4.26,11.33,23.75,18.7794375,19.585,2.980491548,16.73,21,0.43,8.57,2.9165,2.845,1.78237782,1.41,4.0375,29.25,44.75,37.5401875,36.875,3.227528695,35.475,40,0,8.79,2.066,1.71,1.692230191,1.09,2.875,6.5,24,16.860875,17,3.639369526,14.5,19.75,0,8.32,2.989875,2.895,1.641682289,1.79,3.975,12,24,19.938,20.25,2.450988711,18.5,21.67,0,9.62,2.7129375,2.38,1.816363288,1.3,3.7475,28.75,44,37.6215625,36.75,3.406374259,35.25,41,0,9.91,2.0195625,1.5,1.708685672,0.86,2.7475,6.67,24.67,16.7605625,17.5,4.359115692,13.25,20.25,0,7.69,2.8300625,2.65,1.531474193,1.6175,3.8475,10.5,24.33,19.83925,20.33,2.586190844,18.585,21.5425,0,8.83,2.66825,2.175,1.708308424,1.41,3.64,0
28.5,44.67,38.028875,36.75,3.459353556,35.73,41.3725,0,12.99,2.005125,1.3,2.087250904,0.6575,2.94,6.33,24,16.356875,16.79,4.161430902,13,20,0,7.5,2.6989375,2.49,1.573209113,1.495,3.74,10,24.25,19.7926875,20.25,2.68389249,18.67,21.75,0,7.87,2.494375,2.12,1.627471584,1.3,3.3,27.25,44,37.051375,36,3.581105112,34.5,40.25,0,9.9,2.4638125,2.05,1.742837227,1.3,3.5625,9,23,16.87475,17,3.144599234,14.6275,19.25,0,7.36,3.2235,3.27,1.519144993,2.1575,4.24,10.33,23.75,19.2073125,19.875,2.900454903,17.4575,21.5,0,8.55,2.8780625,2.49,1.767288901,1.3825,3.9025,22,44,36.095875,35.5,3.846808264,33.73,38.5425,0,14.17,2.8455,2.36,2.064559526,1.495,3.77,7,24,15.9333125,15.75,3.17100657,13.73,17.5,0,9.74,3.019625,2.87,1.704512283,1.7,3.945,7.5,21.33,15.377875,15.625,3.240990684,13.1875,17.8125,0.43,8.5,3.5788125,3.35,1.884558027,2.06,4.7975,0
22.33,42.5,34.5614375,36,4.818041415,30.475,38,0,12.19,4.0175625,3.67,2.287113956,2.29,5.625,5.5,23,15.8816875,16,2.848629423,14.1875,17.67,0,7.3,3.0804375,3,1.488566212,2.05,4.095,7.33,25,16.4264375,16.585,3.139820799,14.4575,18.5425,0,9.74,3.5465,3.27,1.912828983,2.1675,4.535,19.33,43.5,33.7593125,35.25,5.03591068,30.125,37.25,0,14.5,3.8869375,3.495,2.413046301,2.07,5.055,7.33,21.67,15.6396875,15.625,2.742334639,14,17.5,0,8.73,3.60825,3.72,1.745084579,2.16,4.73,9,26,16.84825,16.625,2.907968785,15,18.75,0,7.43,3.12825,2.91,1.636245722,1.935,4.03,19.5,42.75,34.3625625,35.25,4.806197159,30.75,38,0.47,9.68,4.0826875,3.655,2.113033148,2.49,5.2375,7.33,23.5,15.617875,15.75,2.935097394,13.5,17.75,0,8.86,3.22275,2.93,1.721407553,1.85,4.3375,6.75,25.25,16.5888125,16.67,3.224521099,14.67,18.5,0.43,8.86,3.507625,3.285,1.797631386,2.12,4.52,0
18.67,43,33.6665,34.5,4.816651437,30.31,37,0.43,12.32,4.54725,4.07,2.5869046,2.4325,6.195,8,23.75,15.615375,15.9,2.996949159,13.4575,17.5,0,9.06,3.2704375,3.11,1.749920518,1.98,4.335,7.25,25,16.099375,16.25,3.125359992,13.95,18,0.87,8.46,3.561375,3.285,1.750126496,2.15,4.5125,21.5,45,33.6665,34,4.907077958,30.75,37.5,0,13.05,4.2538125,3.93,2.192989365,2.49,5.4625,5.75,23,15.3905625,15.29,2.933316591,13.5,17,0,9.1,3.390875,3.085,1.731255547,2.17,4.595,9,23.75,16.4709375,16.75,3.12569143,14.5,18.5425,0,8.96,3.320125,3.06,1.877219269,2.06,4.305,12.5,43.25,33.1961875,34,4.843802871,30.5,36.5,0,12.85,4.55125,4.25,2.217497527,3.105,5.9675,7.25,23.75,15.667375,15.67,2.814849323,13.9375,17.67,0.43,7.4,3.39125,3.18,1.508667516,2.3425,4.245,8.75,24.25,17.0538125,17.5,3.094759797,15,19.0625,0,8.75,3.2539375,2.895,1.727587512,2.0375,4.27,0
18.33,43.33,33.3645625,34,4.898309919,30,37,0,12,4.637,4.43,2.356863602,2.62,6.0025,7.5,23.25,15.4640625,15.5,3.004497111,13.33,17.69,0,8.52,3.1618125,2.995,1.629500781,1.885,4.0675,7,23.75,16.0540625,16.25,3.236136818,14,18.25,0,8.99,3.37025,3.11,1.667231709,2.12,4.35,15,46,34.4726875,34.75,5.492737884,30.5,38.25,0,12.53,3.96175,3.67,2.331185773,2.48,5.4175,5,25.25,15.428,15.25,3.096702608,13.67,17.33,0,8.58,3.1123125,2.845,1.831308506,1.685,4.0975,7,24.5,16.5511875,16.5,3.062107502,14.5,18.5,0.43,7.59,3.0148125,2.83,1.453601025,2.1025,3.8475,22,46.75,36.1445,36.415,5.196278276,33,39.75,0,13.44,4.0039375,3.29,2.693406834,2.0175,5.63,6.33,21,14.7775,15,3.170620041,12.9175,17,0,7.22,3.0598125,2.785,1.605381074,1.87,4.15,7.75,24,16.147875,16.125,3.161973627,14.1875,18.5,0,8.26,3.348125,3.14,1.743948454,2.12,4.2825,0
