min_avg_RSS12_1,max_avg_RSS12_1,mean_avg_RSS12_1,median_avg_RSS12_1,standard deviation_avg_RSS12_1,1st quart_avg_RSS12_1,3rd quart_avg_RSS12_1,min_var_RSS12_1,max_var_RSS12_1,mean_var_RSS12_1,median_var_RSS12_1,standard deviation_var_RSS12_1,1st quart_var_RSS12_1,3rd quart_var_RSS12_1,min_avg_RSS13_1,max_avg_RSS13_1,mean_avg_RSS13_1,median_avg_RSS13_1,standard deviation_avg_RSS13_1,1st quart_avg_RSS13_1,3rd quart_avg_RSS13_1,min_var_RSS13_1,max_var_RSS13_1,mean_var_RSS13_1,median_var_RSS13_1,standard deviation_var_RSS13_1,1st quart_var_RSS13_1,3rd quart_var_RSS13_1,min_avg_RSS23_1,max_avg_RSS23_1,mean_avg_RSS23_1,median_avg_RSS23_1,standard deviation_avg_RSS23_1,1st quart_avg_RSS23_1,3rd quart_avg_RSS23_1,min_var_RSS23_1,max_var_RSS23_1,mean_var_RSS23_1,median_var_RSS23_1,standard deviation_var_RSS23_1,1st quart_var_RSS23_1,3rd quart_var_RSS23_1,min_avg_RSS12_2,max_avg_RSS12_2,mean_avg_RSS12_2,median_avg_RSS12_2,standard deviation_avg_RSS12_2,1st quart_avg_RSS12_2,3rd quart_avg_RSS12_2,min_var_RSS12_2,max_var_RSS12_2,mean_var_RSS12_2,median_var_RSS12_2,standard deviation_var_RSS12_2,1st quart_var_RSS12_2,3rd quart_var_RSS12_2,min_avg_RSS13_2,max_avg_RSS13_2,mean_avg_RSS13_2,median_avg_RSS13_2,standard deviation_avg_RSS13_2,1st quart_avg_RSS13_2,3rd quart_avg_RSS13_2,min_var_RSS13_2,max_var_RSS13_2,mean_var_RSS13_2,median_var_RSS13_2,standard deviation_var_RSS13_2,1st quart_var_RSS13_2,3rd quart_var_RSS13_2,min_avg_RSS23_2,max_avg_RSS23_2,mean_avg_RSS23_2,median_avg_RSS23_2,standard deviation_avg_RSS23_2,1st quart_avg_RSS23_2,3rd quart_avg_RSS23_2,min_var_RSS23_2,max_var_RSS23_2,mean_var_RSS23_2,median_var_RSS23_2,standard deviation_var_RSS23_2,1st quart_var_RSS23_2,3rd quart_var_RSS23_2,min_avg_RSS12_3,max_avg_RSS12_3,mean_avg_RSS12_3,median_avg_RSS12_3,standard deviation_avg_RSS12_3,1st quart_avg_RSS12_3,3rd quart_avg_RSS12_3,min_var_RSS12_3,max_var_RSS12_3,mean_var_RSS12_3,median_var_RSS12_3,standard deviation_var_RSS12_3,1st quart_var_RSS12_3,3rd quart_var_RSS12_3,min_avg_RSS13_3,max_avg_RSS13_3,mean_avg_RSS13_3,median_avg_RSS13_3,standard deviation_avg_RSS13_3,1st quart_avg_RSS13_3,3rd quart_avg_RSS13_3,min_var_RSS13_3,max_var_RSS13_3,mean_var_RSS13_3,median_var_RSS13_3,standard deviation_var_RSS13_3,1st quart_var_RSS13_3,3rd quart_var_RSS13_3,min_avg_RSS23_3,max_avg_RSS23_3,mean_avg_RSS23_3,median_avg_RSS23_3,standard deviation_avg_RSS23_3,1st quart_avg_RSS23_3,3rd quart_avg_RSS23_3,min_var_RSS23_3,max_var_RSS23_3,mean_var_RSS23_3,median_var_RSS23_3,standard deviation_var_RSS23_3,1st quart_var_RSS23_3,3rd quart_var_RSS23_3,min_avg_RSS12_4,max_avg_RSS12_4,mean_avg_RSS12_4,median_avg_RSS12_4,standard deviation_avg_RSS12_4,1st quart_avg_RSS12_4,3rd quart_avg_RSS12_4,min_var_RSS12_4,max_var_RSS12_4,mean_var_RSS12_4,median_var_RSS12_4,standard deviation_var_RSS12_4,1st quart_var_RSS12_4,3rd quart_var_RSS12_4,min_avg_RSS13_4,max_avg_RSS13_4,mean_avg_RSS13_4,median_avg_RSS13_4,standard deviation_avg_RSS13_4,1st quart_avg_RSS13_4,3rd quart_avg_RSS13_4,min_var_RSS13_4,max_var_RSS13_4,mean_var_RSS13_4,median_var_RSS13_4,standard deviation_var_RSS13_4,1st quart_var_RSS13_4,3rd quart_var_RSS13_4,min_avg_RSS23_4,max_avg_RSS23_4,mean_avg_RSS23_4,median_avg_RSS23_4,standard deviation_avg_RSS23_4,1st quart_avg_RSS23_4,3rd quart_avg_RSS23_4,min_var_RSS23_4,max_var_RSS23_4,mean_var_RSS23_4,median_var_RSS23_4,standard deviation_var_RSS23_4,1st quart_var_RSS23_4,3rd quart_var_RSS23_4,bending
39,42.33,41.2855,41.75,0.921003152,40.75,42,0,1,0.320916667,0.43,0.28118894,0,0.5,4,24,17.56391667,18,3.756646613,15.1875,19.75,0,7.23,0.67125,0.47,0.884339532,0,0.87,32.5,36,33.74825,33,0.964016164,33,34.5,0,1.5,0.588333333,0,0.642492956,0,1.3,38,42,40.60841667,40.5,1.167853735,40,42,0,1.22,0.430416667,0.5,0.362044604,0,0.8225,4,25.67,17.78125,17.25,4.361315537,16,20.425,0,3.09,0.506,0.43,0.739981149,0,0.5,33,36.17,35.26016667,35.75,0.931957354,34.5,36,0,1.5,0.589666667,0,0.655868061,0,1.3,37.25,40.75,39.13425,39,0.486758551,39,39.33,0,1.3,0.327916667,0.43,0.311536976,0,0.5,8,27.25,19.96275,21.25,4.447421113,16.9375,23.75,0,5.34,1.2,0.94,1.087544455,0.43,1.655,32.75,38.25,36.30841667,36.33,1.076232142,36,37,0,1.92,0.67775,0.755,0.509277726,0.43,1,38.33,45,41.471,42,1.711347889,39.575,42.75,0,1.3,0.355166667,0.43,0.32268564,0,0.5,9.67,29.5,20.85583333,21.5,4.391172693,18.33,24.3725,0,5.5,0.952916667,0.5,0.978051051,0.43,1.12,27.25,37.75,31.92833333,31.29,2.312136897,30,33,0,1.87,0.426583333,0.43,0.481900118,0,0.5,1
41.75,44.25,43.14991667,43.33,0.526099482,42.67,43.5,0,0.94,0.5245,0.5,0.15933607,0.47,0.5,7,25.33,19.79566667,20.5,3.634096407,18.25,22.3725,0,5.5,1.000583333,0.5,1.128107135,0.43,1.22,30,36,33.26741667,33,1.395977713,32.5,34,0,1.5,0.407583333,0,0.537488707,0,0.5,42,42.67,42.13666667,42,0.181577279,42,42.25,0,0.5,0.1855,0,0.225089525,0,0.43,17.75,23,20.94366667,21,0.833502213,21,21.25,0,1.5,0.286666667,0.43,0.336025543,0,0.47,33,36,34.2275,33.875,1.013281755,33,35.0625,0,1.5,0.809583333,1.3,0.643226368,0,1.3,38,45,41.66316667,42,1.720869422,40.5,42,0,1.22,0.38825,0.43,0.343258392,0,0.5,2,29.5,20.096,21,3.925271366,18.5,22.25,0,5.76,1.119833333,0.94,1.032324605,0.43,1.485,27.67,38.5,32.9075,33,2.62604833,30.1875,34.5,0,3.11,0.73475,0.5,0.660086527,0,1.3,42,45.67,44.3015,44.5,0.938514515,43.6275,45,0,1.12,0.3915,0.47,0.288969918,0,0.5,6,26.75,19.55258333,21.625,5.532133859,15,24,0,5.72,1.098666667,0.82,1.21966584,0.3225,1.535,28,36.67,31.69591667,31.71,1.685305995,30,33,0,1.5,0.332416667,0.43,0.383195314,0,0.5,1
12.75,26.75,21.95683333,22.71,3.19826029,20.75,24,0,6.76,1.018416667,0.71,1.210965304,0.43,1.145,5.67,24.75,19.39425,20.5,3.901235026,17.6275,22.25,0,4.82,0.683833333,0.47,0.809853377,0.43,0.83,18.25,28.33,26.13258333,26.5,1.392019569,25.25,27,0,1.79,0.522916667,0.5,0.392204277,0.3225,0.83,20.75,51,27.39391667,26.75,4.716199206,24.75,29,0,6.87,0.530583333,0.43,0.882030979,0,0.5,2.75,25.33,17.90283333,18,3.195727501,16.9375,19,0,6,0.547083333,0.43,0.74747125,0,0.71,15.2,30,26.78316667,27,2.412183704,26.5,28.5,0,2.64,0.404,0.43,0.451122596,0,0.5,17.5,27.33,22.92925,23.5,1.703877517,22,24,0,2.77,0.548166667,0.47,0.445555047,0.43,0.5,0,24,17.91308333,20.585,5.839002418,17.4375,21.5,0,5.19,1.032833333,0.71,1.107457671,0.43,1.345,14.75,26.75,21.06925,20.75,2.367111903,19.5,22.8125,0,4.97,1.030166667,0.785,0.89853661,0.47,1.22,23.75,27.5,25.97183333,26.5,1.109021814,25.1875,27,0,0.94,0.266166667,0.215,0.289134272,0,0.47,11.25,24,21.27516667,21.71,2.676567783,21,23.27,0,6.76,0.683333333,0.47,0.942294119,0,0.74,10.67,23.75,19.98716667,20.5,2.302263476,19.25,21.25,0,4.56,0.843666667,0.81,0.722290862,0.43,1.09,1
26.5,30,28.65683333,29.25,1.296033369,27,30,0,0.94,0.176,0,0.234149274,0,0.43,7.5,24,19.98091667,20.875,2.860645751,18.73,21.25,0,5.76,0.709833333,0.43,0.939435718,0,0.83,12.5,21.5,16.78,16.75,1.950460838,15.31,18.25,0,4.03,0.927,0.83,0.561252501,0.5,1.22,27.33,31.33,29.48633333,29.75,0.745575107,29,30,0,1.25,0.286416667,0.43,0.283346733,0,0.47,14.33,24,18.87433333,18.125,1.906638881,17.75,20.5425,0,1.5,0.44225,0.47,0.390415556,0,0.7675,17.25,24,20.25008333,20.5,1.469877086,19.25,21,0,2.12,0.615,0.5,0.426929628,0.43,0.84,0,37.5,27.10683333,27,4.467727222,24.585,29.27,0,7.05,0.488666667,0.43,0.852332374,0,0.5,11.75,30.75,21.87733333,21,3.921665684,19.1875,25,0,4.24,0.744583333,0.5,0.737484819,0,1.145,0,25,15.96883333,17.125,5.055463005,12.4575,20.3725,0,6.76,1.1145,0.97,0.956694107,0.47,1.41,15.25,42.75,24.60841667,24,3.947822077,22.6275,25.7525,0,7.76,0.84775,0.5,1.115296594,0.43,0.94,11.25,35,22.63758333,22.5,4.769517178,18.9375,26.25,0,4.76,1.223,0.83,1.180944359,0.43,1.645,3,33,17.47283333,16.25,7.798744155,12.2475,24.625,0,6.68,1.832,1.41,1.380831926,0.82,2.925,1
30.75,44.5,36.9235,35.875,3.604789916,34.25,40.0625,0,7.36,2.296,1.92,1.430502292,1.3,2.8625,8.5,24,16.9535,17.415,3.003878068,15,19,0,8.05,3.209083333,2.945,1.669564929,2.15,4.16,7,24.67,19.2545,19.75,3.000318989,17.375,21.27,0.47,8.26,2.953583333,2.59,1.690820891,1.7525,3.8475,24.25,45,36.98491667,36.125,3.948643634,34.1875,40.27,0,8.18,2.489333333,1.985,1.61101812,1.3,3.67,5.5,26.75,17.28958333,17.33,4.122644455,15,19.75,0,7.45,2.781083333,2.49,1.551041285,1.56,4.02,7.25,25.5,19.88666667,20.5,3.10827449,18.25,22.25,0,9.07,3.057166667,2.755,1.934574056,1.7175,4.16,31.5,44.5,37.62625,36.375,3.660100348,35,41,0,8.58,2.452666667,1.79,1.793923794,1.3,3.0275,6.75,23,15.51258333,15.75,3.403121774,13,18,0,7.83,3.15675,2.87,1.606079397,2.0375,3.9775,11.75,24.5,19.45333333,19.9,2.911892836,17.5,21.69,0,8.18,2.935583333,2.55,1.87439886,1.3825,4.1725,29,44.67,37.1735,36.55,3.055819534,35.25,39.3725,0,7.25,2.258833333,2.12,1.558423672,1.3,3.0075,9.5,23,16.36866667,16.125,2.819176509,14.5,18.5,0,7.26,2.4955,2.17,1.480548871,1.3,3.4225,12.33,24,19.8345,20.375,2.490875061,18.5,21.5425,0,9.34,2.740583333,2.355,1.909817755,1.3825,3.64,0
29.25,43.67,37.45825,36.75,2.89059113,35.25,39.5,0,7.08,2.14425,1.985,1.393120952,1.3,2.9775,6.67,21.5,15.8965,16,2.907616671,14.25,18,0,8.17,3.263166667,3.375,1.693469902,2.0375,4.26,11.33,23.75,18.46566667,18.875,3.108614956,15.9375,20.8125,0.43,8.57,2.971,2.845,1.78836924,1.5,4.16,29.25,44.75,37.72625,37,3.35394489,35.4,39.8125,0,8.95,2.079,1.5,1.741832031,1.12,2.4925,9,24,16.50491667,16.875,3.263668863,14.31,19,0,7.4,3.080833333,3,1.539709447,1.92,4.0225,12.25,23.75,20.06125,20.29,2.168533394,19,21.5,0,7.82,2.59975,2.37,1.62384152,1.3,3.4925,30,43.5,37.46808333,36.625,3.282169117,35.5,40.25,0,8.16,2.112666667,1.79,1.716131439,1.1125,2.84,6.5,24,17.31508333,17.75,3.907311611,14.4375,20.5,0,8.32,2.897083333,2.865,1.759161563,1.5,3.96,10.5,24,19.54983333,20.25,2.834617335,18,21.67,0,9.62,2.8125,2.49,1.91980621,1.3,3.94,28.75,44,37.59216667,36.415,3.388047747,35.25,41,0,9.91,1.986833333,1.5,1.697805298,0.83,2.87,6.67,24.67,16.55166667,17.27,4.410741345,12.9375,20,0.47,7.69,2.894416667,2.65,1.48579198,1.69,3.8475,12.25,24.33,19.99883333,20.5,2.427408683,19,21.5,0,8.83,2.680333333,2.17,1.731649009,1.41,3.6775,0
28.5,44.5,37.8715,36.67,3.314150119,35.5,41,0,12.99,1.97025,1.3,2.03497877,0.71,2.87,6.33,24,16.38891667,17,4.21302897,13,20,0,7.5,2.872833333,2.755,1.572960696,1.7225,3.87,11.75,24.25,19.9695,20.25,2.484237316,18.6275,22,0,7.07,2.426666667,2.12,1.54263353,1.28,3.2775,28,44.67,37.60983333,37.025,3.754852767,35.15,40.69,0,11.5,2.324083333,1.86,1.943192598,1.22,3.27,9,23,16.55525,16.75,3.712470233,13.73,19.25,0,7.36,2.886083333,2.55,1.62357697,1.65,4.095,10,23,19.291,20.125,3.006932997,17.9375,21.5,0,7.87,2.81125,2.45,1.801673154,1.3975,3.785,27.25,44,37.01325,36,3.631440014,34.5,40,0,7.85,2.525,2.06,1.748136102,1.3,3.635,10.67,22.75,16.88483333,16.75,2.800872308,15,19.0625,0,7.15,3.14,3.065,1.432543721,2.27,4.0425,9.25,23.75,17.84225,18,3.351091497,16,20.75,0,8.55,3.068416667,2.775,1.854413765,1.48,4.5,22,43.5,35.74025,35.25,3.796234637,33.2475,38,0,14.17,2.93325,2.47,2.142186962,1.5,3.7925,7,24,15.72425,15.585,3.207117259,13.4375,17.3725,0,9.74,3.023833333,2.87,1.802728643,1.7,3.96,7.5,21.33,15.40108333,15.5,3.399062351,13,18,0.43,8.5,3.628666667,3.445,1.85375836,2.1675,4.89,0
22.33,42.5,34.58125,35.875,4.819790707,31.4375,38.0625,0.5,12.19,3.996083333,3.655,2.332832626,2.255,5.625,5.5,23,15.91308333,16,2.968023363,14.1875,17.69,0,7.3,3.101916667,3.045,1.589948097,2,4.15,7.33,25,16.379,16.585,3.278758322,14.33,18.3725,0.5,9.74,3.601,3.345,1.908768973,2.3325,4.5125,23,41.5,34.08841667,35.75,4.731193108,30.25,37.5,0,10.78,3.953833333,3.52,2.357957449,2.26,5.1725,8.67,22.5,15.926,16,2.719307994,14.4575,18,0,8.73,3.36725,3.04,1.623735688,2.2225,4.4525,8,24,16.73491667,16.5,2.792941883,15,18.8125,0,8.47,3.174,3.015,1.629061389,2.12,4.0225,19.33,43.5,34.13925,35.25,5.210625079,30.875,37.67,0,14.5,3.96625,3.35,2.316011155,2.4275,5.3525,7.33,21.67,15.51191667,15.875,2.754509609,14,17.2125,0,7.63,3.417916667,3.385,1.654589185,2.1025,4.4925,9,26,16.887,17,2.929360386,15,18.69,0,8.58,3.2805,2.86,1.835433615,1.985,4.4525,19.5,42.33,34.10216667,35,4.827004775,30.4375,37.5,0.47,9.68,4.06675,3.735,2.094739775,2.5725,5.1,8.25,23.5,15.50133333,15.5,2.914715182,13.4575,17.69,0,8.86,3.328166667,2.96,1.796781896,1.885,4.64,6.75,25.25,16.48375,16.5,3.345263568,14.6525,18.25,0.43,8.86,3.521,3.285,1.771999014,2.15,4.52,0
23,42.25,34.00666667,34.67,4.703726278,31.25,37.25,0.43,12.32,4.638,4.07,2.636365782,2.5975,6.4925,8.67,23.75,15.84208333,16,2.919586967,14,17.75,0,9.06,3.272333333,3.055,1.84334585,1.79,4.395,7.25,25,16.26466667,16.29,3.272686285,14.1875,18.3725,0.87,8.46,3.4845,3.27,1.789677615,2.05,4.5,18.67,45,33.51925,34.5,5.290672014,30.4575,37.5,0.43,13.05,4.163666667,3.825,2.248742294,2.45,5.4475,5.75,23,15.26683333,15.55,3.133574484,13.1875,17.27,0,9.1,3.467833333,3.33,1.644298621,2.45,4.535,9,23.75,16.40116667,16.5,2.925412614,14.75,18.3125,0,8.38,3.272916667,2.955,1.761086084,2.15,4.12,12.5,42,33.395,34,4.790183063,30.625,36.5425,0,11.58,4.4085,3.96,2.307783195,2.665,5.76,9.25,23.75,15.44566667,15,2.884225639,13.5,16.8125,0,9,3.091833333,2.86,1.555145422,2.1025,3.8025,9,24.25,16.88691667,17,3.366346496,14.6875,19.0625,0.47,8.96,3.377,3.235,1.796374781,2.0575,4.44,21,43.25,33.118,33.415,4.608668048,30.4375,36.3125,0.43,12.85,4.592916667,4.43,2.131171373,3.27,5.8475,7.25,22.25,15.6765,15.67,2.699340302,14,17.67,0.43,7.4,3.571416667,3.52,1.579114897,2.49,4.6975,8.75,24,16.61275,17.125,2.949757421,14.73,18.69,0,8.75,3.3795,2.97,1.818034699,2.1025,4.5725,0
20.5,43.33,33.44033333,33.875,4.757225717,30,36.8125,0.82,12,4.653333333,4.305,2.427161199,2.615,5.955,7.5,23.25,15.7215,15.75,2.995550384,13.5,17.75,0,8.46,2.996666667,2.74,1.607706406,1.7,3.97,7.33,23.75,16.24783333,16.415,3.228977824,14.1875,18.0625,0,8.99,3.29975,2.935,1.751356959,2.1025,4.32,15,45.33,33.74291667,34.75,5.476629092,30.33,37.3125,0,12.53,4.49275,4.15,2.343660845,2.86,6.225,7.25,21.75,15.24058333,15.25,2.797023717,13.4575,17,0,8.52,3.279666667,2.955,1.848685626,1.9125,4.12,7,23.25,16.2415,16.125,2.97881671,14.4375,18.5,0.47,6.65,3.264166667,3.055,1.325359367,2.4325,4.1875,21.5,46.75,36.10808333,36.5,5.640393826,31.4575,40.25,0,13.44,3.71725,3.27,2.549835375,1.87,4.645,5,25.25,14.87233333,15,3.512350773,12.9375,17.27,0,8.58,3.031833333,2.845,1.685999184,1.69,4.105,7,24.5,16.10108333,16.29,3.23652002,14,18,0,7.82,3.03975,2.525,1.71811381,1.85,4.0975,22,46,35.351,35.75,4.932627506,32,39,0,12.5,3.94025,3.32,2.50570323,2.105,5.63,6.5,21,15.05833333,15.25,3.028554952,13.25,17.05,0,7.22,3.137083333,3,1.607949995,1.9075,4.16,7.75,24,16.41375,16.5,3.200506541,14.25,19,0,8.26,3.373916667,3.14,1.693845159,2.12,4.275,0
