min_avg_RSS12_1,max_avg_RSS12_1,mean_avg_RSS12_1,median_avg_RSS12_1,standard deviation_avg_RSS12_1,1st quart_avg_RSS12_1,3rd quart_avg_RSS12_1,min_var_RSS12_1,max_var_RSS12_1,mean_var_RSS12_1,median_var_RSS12_1,standard deviation_var_RSS12_1,1st quart_var_RSS12_1,3rd quart_var_RSS12_1,min_avg_RSS13_1,max_avg_RSS13_1,mean_avg_RSS13_1,median_avg_RSS13_1,standard deviation_avg_RSS13_1,1st quart_avg_RSS13_1,3rd quart_avg_RSS13_1,min_var_RSS13_1,max_var_RSS13_1,mean_var_RSS13_1,median_var_RSS13_1,standard deviation_var_RSS13_1,1st quart_var_RSS13_1,3rd quart_var_RSS13_1,min_avg_RSS23_1,max_avg_RSS23_1,mean_avg_RSS23_1,median_avg_RSS23_1,standard deviation_avg_RSS23_1,1st quart_avg_RSS23_1,3rd quart_avg_RSS23_1,min_var_RSS23_1,max_var_RSS23_1,mean_var_RSS23_1,median_var_RSS23_1,standard deviation_var_RSS23_1,1st quart_var_RSS23_1,3rd quart_var_RSS23_1,min_avg_RSS12_2,max_avg_RSS12_2,mean_avg_RSS12_2,median_avg_RSS12_2,standard deviation_avg_RSS12_2,1st quart_avg_RSS12_2,3rd quart_avg_RSS12_2,min_var_RSS12_2,max_var_RSS12_2,mean_var_RSS12_2,median_var_RSS12_2,standard deviation_var_RSS12_2,1st quart_var_RSS12_2,3rd quart_var_RSS12_2,min_avg_RSS13_2,max_avg_RSS13_2,mean_avg_RSS13_2,median_avg_RSS13_2,standard deviation_avg_RSS13_2,1st quart_avg_RSS13_2,3rd quart_avg_RSS13_2,min_var_RSS13_2,max_var_RSS13_2,mean_var_RSS13_2,median_var_RSS13_2,standard deviation_var_RSS13_2,1st quart_var_RSS13_2,3rd quart_var_RSS13_2,min_avg_RSS23_2,max_avg_RSS23_2,mean_avg_RSS23_2,median_avg_RSS23_2,standard deviation_avg_RSS23_2,1st quart_avg_RSS23_2,3rd quart_avg_RSS23_2,min_var_RSS23_2,max_var_RSS23_2,mean_var_RSS23_2,median_var_RSS23_2,standard deviation_var_RSS23_2,1st quart_var_RSS23_2,3rd quart_var_RSS23_2,min_avg_RSS12_3,max_avg_RSS12_3,mean_avg_RSS12_3,median_avg_RSS12_3,standard deviation_avg_RSS12_3,1st quart_avg_RSS12_3,3rd quart_avg_RSS12_3,min_var_RSS12_3,max_var_RSS12_3,mean_var_RSS12_3,median_var_RSS12_3,standard deviation_var_RSS12_3,1st quart_var_RSS12_3,3rd quart_var_RSS12_3,min_avg_RSS13_3,max_avg_RSS13_3,mean_avg_RSS13_3,median_avg_RSS13_3,standard deviation_avg_RSS13_3,1st quart_avg_RSS13_3,3rd quart_avg_RSS13_3,min_var_RSS13_3,max_var_RSS13_3,mean_var_RSS13_3,median_var_RSS13_3,standard deviation_var_RSS13_3,1st quart_var_RSS13_3,3rd quart_var_RSS13_3,min_avg_RSS23_3,max_avg_RSS23_3,mean_avg_RSS23_3,median_avg_RSS23_3,standard deviation_avg_RSS23_3,1st quart_avg_RSS23_3,3rd quart_avg_RSS23_3,min_var_RSS23_3,max_var_RSS23_3,mean_var_RSS23_3,median_var_RSS23_3,standard deviation_var_RSS23_3,1st quart_var_RSS23_3,3rd quart_var_RSS23_3,min_avg_RSS12_4,max_avg_RSS12_4,mean_avg_RSS12_4,median_avg_RSS12_4,standard deviation_avg_RSS12_4,1st quart_avg_RSS12_4,3rd quart_avg_RSS12_4,min_var_RSS12_4,max_var_RSS12_4,mean_var_RSS12_4,median_var_RSS12_4,standard deviation_var_RSS12_4,1st quart_var_RSS12_4,3rd quart_var_RSS12_4,min_avg_RSS13_4,max_avg_RSS13_4,mean_avg_RSS13_4,median_avg_RSS13_4,standard deviation_avg_RSS13_4,1st quart_avg_RSS13_4,3rd quart_avg_RSS13_4,min_var_RSS13_4,max_var_RSS13_4,mean_var_RSS13_4,median_var_RSS13_4,standard deviation_var_RSS13_4,1st quart_var_RSS13_4,3rd quart_var_RSS13_4,min_avg_RSS23_4,max_avg_RSS23_4,mean_avg_RSS23_4,median_avg_RSS23_4,standard deviation_avg_RSS23_4,1st quart_avg_RSS23_4,3rd quart_avg_RSS23_4,min_var_RSS23_4,max_var_RSS23_4,mean_var_RSS23_4,median_var_RSS23_4,standard deviation_var_RSS23_4,1st quart_var_RSS23_4,3rd quart_var_RSS23_4,min_avg_RSS12_5,max_avg_RSS12_5,mean_avg_RSS12_5,median_avg_RSS12_5,standard deviation_avg_RSS12_5,1st quart_avg_RSS12_5,3rd quart_avg_RSS12_5,min_var_RSS12_5,max_var_RSS12_5,mean_var_RSS12_5,median_var_RSS12_5,standard deviation_var_RSS12_5,1st quart_var_RSS12_5,3rd quart_var_RSS12_5,min_avg_RSS13_5,max_avg_RSS13_5,mean_avg_RSS13_5,median_avg_RSS13_5,standard deviation_avg_RSS13_5,1st quart_avg_RSS13_5,3rd quart_avg_RSS13_5,min_var_RSS13_5,max_var_RSS13_5,mean_var_RSS13_5,median_var_RSS13_5,standard deviation_var_RSS13_5,1st quart_var_RSS13_5,3rd quart_var_RSS13_5,min_avg_RSS23_5,max_avg_RSS23_5,mean_avg_RSS23_5,median_avg_RSS23_5,standard deviation_avg_RSS23_5,1st quart_avg_RSS23_5,3rd quart_avg_RSS23_5,min_var_RSS23_5,max_var_RSS23_5,mean_var_RSS23_5,median_var_RSS23_5,standard deviation_var_RSS23_5,1st quart_var_RSS23_5,3rd quart_var_RSS23_5,bending
39,42,41.1034375,41.5,0.945496615,40.5,41.75,0,1,0.39625,0.47,0.261035388,0.3225,0.5,4,24,17.32552083,17.5,4.148051126,14.73,20.27,0,7.23,0.782395833,0.5,0.947076104,0.3225,1.09,32.5,36,33.43614583,33,0.7442939,33,33.75,0,1.5,0.467604167,0,0.620266063,0,1.3,38,42.33,41.1371875,42,1.32282688,40.67,42,0,1.22,0.228333333,0,0.338972648,0,0.4775,14.25,25.67,19.5703125,19.5,2.746560127,18,21,0,1.79,0.27125,0,0.35148482,0,0.47,33,36,35.07604167,35.25,0.90839764,34.5,36,0,1.5,0.781354167,1.22,0.641971667,0,1.3,37.25,41,39.73645833,39.9,0.79002329,39.25,40.5,0,1.3,0.5759375,0.5,0.286512894,0.47,0.83,4,24,16.13052083,16.75,4.439797143,14.4375,18.0625,0,4.55,1.145104167,0.83,1.104856261,0.3225,1.87,32.75,37.5,35.75020833,36,0.914456962,35.6875,36.0425,0,1.92,0.515520833,0.37,0.594745182,0,1,38.25,40.75,39.15552083,39,0.352216649,39,39.25,0,1.25,0.25,0,0.289365913,0,0.47,8.75,27.25,20.02354167,21.25,4.582167949,16.75,23.75,0,5.5,1.259166667,0.97,1.198738518,0.43,1.67,31.75,38.25,35.97645833,36.33,1.615931199,36,37,0,1.87,0.705,0.605,0.508684578,0.43,1,38.33,45,41.99135417,42,1.498024397,41.6875,43.0625,0,1.3,0.3425,0.43,0.312079612,0,0.5,11,29.5,22.15479167,23.25,3.518527796,20.4375,24.75,0,3.27,0.704791667,0.5,0.635237178,0.43,0.83,27.25,37.75,31.31760417,30.375,2.001469326,30,32.25,0,1.5,0.3834375,0.43,0.437718554,0,0.5,1
41.75,44.25,43.33583333,43.5,0.403974118,43.25,43.5,0,0.94,0.5496875,0.5,0.148249101,0.47,0.5,7,25.33,19.78197917,20.5,3.993726823,18,22.8125,0,5.5,1.073125,0.5,1.201995107,0.43,1.2275,30,36,32.9496875,33,1.281133095,32.5,33,0,1.5,0.321145833,0,0.461299925,0,0.4775,42,42.67,42.22729167,42.25,0.218234443,42,42.5,0,0.5,0.2725,0.43,0.232790848,0,0.4775,16.25,22.33,20.404375,21,1.086418367,20.25,21,0,3.09,0.370833333,0.215,0.517342738,0,0.5,33,36,34.26916667,34.125,1.022471378,33.375,35,0,1.5,0.803541667,1.26,0.649961908,0,1.3,38,45,41.77166667,42,1.26939328,42,42,0,1.22,0.21,0,0.322542531,0,0.43,2,23.75,20.11197917,21.125,3.501334669,20.9375,21.75,0,4.76,0.572708333,0.43,0.727557528,0,0.71,28,37,33.40447917,33.75,2.02122572,33,35,0,3.11,0.782604167,0.845,0.65694868,0,1.3,38.5,45.5,42.495625,42,1.921029227,41.25,44.5,0,1.12,0.430729167,0.48,0.281107752,0.4225,0.5,12.25,29.5,21.74416667,22.25,3.090360792,19.75,24,0,5.76,1.090416667,0.905,1.011380418,0.43,1.485,27.67,38.5,32.31979167,31.415,2.831748197,30,34.5,0,2.62,0.578854167,0.43,0.623098995,0,1.03,42,45.67,44.23364583,44.5,1.009109164,43.5,45,0,1.12,0.399270833,0.47,0.299488142,0,0.5,6,26.75,18.44239583,20.46,5.639168984,14.325,23.0625,0,5.72,1.275104167,0.83,1.291412931,0.43,1.9525,28,36.67,32.17979167,32,1.530352542,31.1875,33,0,1.5,0.369270833,0.43,0.402526873,0,0.5,1
13.75,26.75,22.080625,22.75,2.838056345,20.75,24,0,4.92,0.821770833,0.5,0.924793001,0.43,1.0225,5.67,24.75,19.66552083,21,4.201205308,17.105,22.69,0,4.82,0.7303125,0.47,0.873182266,0.43,0.87,18.25,28.33,26.16833333,26.75,1.51911447,25.1875,27,0,1.79,0.472083333,0.47,0.399860283,0,0.83,12.75,31.25,25.16947917,25.625,3.77305415,24,27.1675,0,6.76,0.71,0.43,1.134645783,0,0.71,10,25.33,18.42979167,18.125,2.176413747,18,19.5,0,2.55,0.420208333,0.43,0.473930884,0,0.5,15.2,29.5,26.12729167,26.5,2.062209076,25.75,27,0,2.64,0.5253125,0.495,0.469236677,0,0.71,17.5,51,25.88895833,24.75,5.720765771,23.75,27,0,6.87,0.748125,0.45,1.000162421,0.43,0.8225,2.75,24.5,18.301875,18.5,3.67319689,16.6875,20.5425,0,6,1.05875,0.73,1.163779008,0.43,1.345,18.25,30,24.82229167,26.25,3.712403812,21,28.25,0,4.74,0.8221875,0.47,0.934208591,0,1.145,18.25,26.5,23.2734375,23.5,1.190340799,22.75,24,0,1.3,0.3840625,0.45,0.274769102,0,0.5,0,24,18.19979167,21,6.588911256,18.565,22,0,4.03,0.70625,0.47,0.854400683,0,0.84,14.75,24,20.25489583,20.29,2.060102192,19.1875,21.3125,0,4.97,0.796979167,0.71,0.656937263,0.47,0.955,24,27.5,26.40229167,26.67,0.723989647,26,27,0,0.94,0.290208333,0.43,0.299209411,0,0.47,11.25,24,21.0096875,21.5,2.827718981,20.6275,23,0,6.76,0.768333333,0.47,1.026554448,0,0.87,10.67,23.75,20.09239583,20.585,2.428156218,19.25,21.33,0,4.56,0.884375,0.82,0.774495846,0.47,1.09,1
26.5,30,28.76291667,29.585,1.387856292,27,30,0,0.94,0.1271875,0,0.215932266,0,0.43,7.5,24,19.693125,20.71,3.070858379,18.4575,21.25,0,5.76,0.803541667,0.47,1.017137344,0.43,0.87,12.5,21.5,16.52885417,16.125,2.073892283,15,18,0,4.03,1.0053125,0.85,0.585385079,0.6575,1.25,27,30.5,29.079375,29.25,0.770937655,28.73,29.75,0,0.83,0.307291667,0.43,0.230940772,0,0.47,14.33,24,19.26822917,19,2.021284112,18,21,0,1.5,0.4075,0.43,0.398924871,0,0.71,16.5,24,19.23875,18.875,1.649726134,18,20.3725,0,2.12,0.668333333,0.5,0.41436487,0.46,0.84,26,31.33,29.18114583,30,1.204695087,28,30,0,1.3,0.3190625,0.43,0.349053089,0,0.5,16,24,19.64510417,19.625,2.042459299,18,21,0,2.49,0.586354167,0.5,0.521629269,0,0.83,7.5,23.67,20.26864583,20.75,2.179558439,20,21,0,3.86,0.705208333,0.5,0.629987434,0.43,0.87,0,37.5,25.88364583,25.25,4.849968013,23.67,27,0,7.05,0.594791667,0.47,0.942692649,0,0.71,11.75,35,24.13572917,25,4.56633234,21,27,0,4.24,0.7959375,0.5,0.795591244,0.3225,1.22,0,25,12.4659375,12.29,5.04561145,9.31,16.25,0,6.76,1.322395833,1.09,1.105676973,0.5,1.67,15.25,42.75,24.4159375,24,4.245385006,22,25.67,0,7.76,0.900208333,0.5,1.21985761,0.43,0.94,11.25,32.75,21.47052083,21,4.316592557,18.25,24.3725,0,4.76,1.30625,0.87,1.251762757,0.43,1.79,3.5,33,19.5875,17.875,7.060065305,14,25.75,0,6.68,1.909375,1.455,1.403282477,0.9125,2.94,1
30.75,44.5,36.83,35.75,3.688626616,34,40.0625,0,6.61,2.273958333,1.92,1.389012128,1.3,3.135,8.5,24,16.86760417,17.165,3.1608509,14.6875,19,0,8.05,3.1990625,2.97,1.72996141,2.1025,4.105,7,24.67,19.25833333,19.75,3.035728532,17.5,21.25,0.47,7.76,2.906354167,2.595,1.61338162,1.625,3.9025,24.25,45,36.7696875,36.5,3.991493706,34,40.0625,0,8.18,2.690416667,2.165,1.749106188,1.3,4.0825,10.33,26.75,17.98052083,17.75,3.71971345,15.73,20.0625,0,7.45,2.8009375,2.49,1.620865317,1.5,4.02,7.25,24.67,19.294375,19.67,3.218650522,17,21.75,0,9.07,3.138958333,2.61,1.882379502,1.9075,3.9425,31.5,44,37.365625,36.125,3.558178958,34.6275,40.69,0,7.56,2.2821875,1.79,1.463376919,1.3,2.695,5.5,22.5,15.658125,16.5,3.622265157,13.4575,18.0625,0,7.83,3.185,2.9,1.642264803,1.79,4.26,13,25.5,20.25239583,20.625,2.720379906,18.4575,22.3725,0,8.66,2.899166667,2.74,1.873646974,1.25,3.94,31.5,44.67,37.8384375,36.75,3.540265624,35.25,41,0,8.58,2.429479167,2.17,1.753401728,1.3,3.2025,6.75,23,15.53375,15.71,3.205133793,13,17.75,0,7.43,2.8365625,2.785,1.37883309,1.9125,3.7475,11.75,24.33,19.23666667,20,2.896388192,17.4575,21.5,0,8.49,2.987291667,2.495,2.101080163,1.3825,4.335,29,43.25,37.08145833,36.55,3.026532836,35.25,39.25,0,7.25,2.195,1.84,1.605280759,1.2875,2.94,11,23,16.61541667,16.29,2.847886351,14.6275,19,0,7.26,2.531458333,2.26,1.539054378,1.3,3.5075,12.5,24,19.99447917,20.585,2.413411593,18.5,21.75,0,9.34,2.676875,2.355,1.766446515,1.41,3.4575,0
29.25,43.67,37.49625,36.875,2.906770409,35.25,39.5,0,7.08,2.076041667,1.92,1.263181013,1.3,2.7625,6.67,21.5,15.75072917,15.75,2.953503983,13.73,18,0,8.17,3.243229167,3.33,1.756850948,1.79,4.255,11.33,23.75,18.29802083,18.625,3.132623457,15.67,20.75,0.43,7.29,2.7346875,2.49,1.602659601,1.41,3.8025,29.75,44,37.649375,37,3.191906809,35.475,39.75,0,8.95,2.106354167,1.57,1.75839647,1.18,3.1925,9,21.75,16.46458333,17,2.938788836,14.9375,18.5425,0,7.4,3.300416667,3.205,1.476188489,2.4275,4.26,12.25,23.75,19.68520833,20.25,2.417385704,18.5,21.25,0.43,8.57,3.031666667,2.815,1.904068037,1.495,4.09,29.25,44.75,37.40479167,36.875,3.308847145,35.25,39.75,0,8.79,2.235833333,1.79,1.817200083,1.195,3.2475,6.5,24,16.790625,17.29,3.766876358,14.6275,19.8125,0,8.32,2.996770833,2.895,1.614902633,1.775,3.9225,12,24,20.05083333,20.375,2.473281505,19,21.5425,0,9.62,2.697083333,2.335,1.93386056,1.2875,3.5675,30.25,43.5,37.53520833,36.625,3.342480006,35.4575,40.3725,0,6.72,1.983541667,1.64,1.555758051,0.94,2.49,7.67,24.5,17.61802083,18.25,3.98602813,14,21,0,7.83,2.7221875,2.68,1.788091133,1.22,3.97,10.5,24.33,19.37875,20,2.92543627,17.75,21.5425,0,7.82,2.745104167,2.52,1.657991807,1.41,3.6775,28.75,44,37.7203125,36.625,3.415952808,35.25,41.3125,0,9.91,2.001666667,1.445,1.760093698,0.83,3.03,6.67,24.67,16.21125,16.75,4.392027766,12.645,19.8125,0.47,7.69,2.906770833,2.605,1.42066663,1.885,3.815,12.25,23.5,20.18166667,20.5,2.211310955,19,21.75,0,8.83,2.6209375,2.12,1.732228913,1.3825,3.64,0
31.33,44.5,37.96697917,36.75,3.209957901,35.31,41,0,12.99,2.064375,1.3,2.026704254,0.87,2.9425,6.33,24,16.36375,17,4.342920494,12.875,20,0,7.5,2.9240625,2.77,1.629649997,1.79,3.97,12.25,24.25,19.9428125,20.25,2.378940367,18.5,22,0,7.07,2.4890625,2.17,1.571049986,1.28,3.3475,28.5,44.67,37.97833333,37.025,3.720349069,36,41.375,0,11.5,1.952604167,1.48,1.992999984,0.47,2.8875,9.2,23,16.43020833,16.71,3.835337624,13.1875,19.25,0,6.42,2.6603125,2.47,1.520760511,1.41,3.74,10,23.33,19.3896875,20.29,3.219618955,18.6275,21.5,0,7.87,2.684166667,2.17,1.768879316,1.4775,3.4925,27.25,44,37.0121875,35.875,3.645279342,34.4575,40.25,0,9.9,2.475520833,1.86,1.81385421,1.3,3.455,9,23,16.92885417,17,3.068901353,14.73,19.25,0,7.36,3.2828125,3.34,1.553925219,2.27,4.4375,10.67,23,19.33677083,19.71,2.552000452,17.31,21.3725,0.43,8.55,2.894791667,2.69,1.799714585,1.3,3.87,28.67,44,37.00895833,36.585,3.613046383,34.1875,40,0,7.37,2.667395833,2.175,1.723681644,1.41,3.96,10.67,22.75,16.47916667,16.29,2.790931807,14.6275,18,0,7.07,2.991875,3.04,1.493162178,2.0175,3.9775,9,23.75,16.60802083,16.585,3.417153207,14,19.25,0,7.79,3.053541667,2.89,1.842159476,1.4625,4.5,22,43.5,35.32708333,35,3.76785655,32.5,37.5425,0,14.17,3.030833333,2.565,2.230708958,1.5,3.7925,7,24,15.73958333,15.33,3.406318252,13.25,17.5625,0,9.74,3.044375,2.815,1.813000312,1.7,3.9925,7.5,21.33,15.3525,15.625,3.51231068,12.73,18,0.47,8.5,3.7971875,3.53,1.836839794,2.4325,5.34,0
22.33,41.33,34.73822917,36,4.742720071,31.6875,38.3125,0.5,12.19,3.850833333,3.6,2.260770556,2.1025,5.49,5.5,21.5,15.91489583,16,3.061181057,14,17.75,0,6.61,3.065416667,2.89,1.60968903,2,4.1275,8.67,25,16.7534375,16.875,3.030355834,14.69,18.5625,0.5,9.74,3.666458333,3.345,1.980815345,2.25,4.995,23,42.5,34.19739583,35.75,4.804704108,30.25,37.75,0,10.11,3.946666667,3.605,2.197249317,2.29,5.36,10,23,15.91479167,16,2.602859553,14.5,17.5,0.82,7.3,3.28375,3.27,1.338336949,2.2525,4.4025,7.33,24,16.08052083,16,3.179835934,14.25,18.67,0,8.47,3.257083333,3.015,1.728972263,2.15,4.2825,22.75,41.75,33.58354167,34.71,4.865161214,29.6025,37.25,0,14.5,4.05875,3.6,2.581963859,2.315,5.0775,7.33,20.5,15.57416667,15.5,2.816156644,14.1875,17.75,0,8.73,3.514791667,3.235,1.876000774,2.16,4.7225,12,23.5,17.16072917,17.71,2.639608123,15.25,19.0625,0,7.43,3.242604167,3.12,1.650916967,2.0175,4.1275,19.33,43.5,34.40947917,35.25,5.159436805,31.31,38,0.47,9.46,3.918645833,3.315,2.147549703,2.335,5.36,7.33,22,15.74760417,16,2.851532089,14,17.67,0,7.63,3.2209375,3.31,1.615725405,1.775,4.32,9,26,16.52479167,16.71,3.098541585,14.5,18.3125,0,8.58,3.179375,2.87,1.717947253,2.06,4.2075,19.5,42.33,34.21020833,35.375,4.894993356,30.4375,37.5425,0.47,9.68,4.20375,3.735,2.170669191,2.7775,5.335,8.25,23.5,15.41395833,15.5,2.873637518,13.33,17.5625,0,8.86,3.434166667,3.015,1.837692871,1.9125,4.75,6.75,25.25,16.58635417,16.585,3.424474795,14.75,18.3125,0.43,8.86,3.625104167,3.31,1.840018876,2.105,4.6625,0
23,42.25,33.97708333,34.585,4.779166833,31.25,37.5425,0.43,12.32,4.686354167,4.07,2.67162837,2.6275,6.5875,8.67,23.75,15.57770833,15.9,2.919340401,13.4575,17.5,0,9.06,3.3075,3.11,1.821218216,1.8875,4.44,7.25,25,16.32052083,16.33,3.325813354,14.4375,18.3725,0.87,8.46,3.431979167,2.96,1.854987371,2.05,4.4325,18.67,43,33.30177083,34,5.007232873,29.9175,36.75,0.43,13.05,4.367916667,4.085,2.496684925,2.49,5.805,5.75,21.75,15.55229167,15.75,3.176295916,13.4575,17.5,0,9.1,3.238229167,3.1,1.615845221,2.2525,4.0375,9.5,22.5,15.98489583,16.125,2.98778883,13.75,18.3125,0,7.12,3.516354167,3.45,1.674471555,2.2525,4.5125,22.5,45,33.91239583,34.375,4.867234759,30.6875,37.5,0,11.28,4.073854167,3.79,2.019839165,2.45,5.3,8.33,23,15.3728125,15.29,2.936998361,13.1875,17.3125,0,8.19,3.4871875,3.285,1.770874124,2.0375,4.8825,9,23.75,17.03479167,17.25,2.945357803,15.1875,18.8125,0,8.65,3.339375,3.11,1.874299764,2.105,4.2,12.5,41.33,33.03447917,34,5.099731855,30.5625,36.3725,0,12.85,4.66875,4.135,2.537642192,2.7275,6.0475,9.25,23.75,15.63135417,15.585,2.887576153,13.9175,17.5,0.43,9,3.043229167,2.865,1.41028067,2.15,3.77,9,24.25,16.921875,17.25,3.221231315,15,19,0,8.96,3.1603125,2.865,1.701355777,2.0375,4.15,21,43.25,33.32291667,33.5,4.510681572,30.5,36.5,0.43,8.61,4.456979167,4.43,1.852693697,3.27,5.725,7.25,22.25,15.6546875,15.635,2.672491427,14,17.5,0.47,7.4,3.678125,3.62,1.636266168,2.49,4.8775,8.75,24,16.44479167,17,3.115480187,14,18.69,0,8.75,3.444375,3.195,1.838262803,2.01,4.6725,0
20.5,42.25,33.34958333,34,4.63736357,30.1875,36.3125,0.82,10.69,4.7284375,4.57,2.415871349,2.62,6.08,7.5,22,15.55458333,15.71,3.013973393,13.33,17.75,0.43,8.46,3.073333333,2.845,1.676027048,1.7,4.115,7.33,23.75,16.1290625,16.29,3.28235316,14.1875,18.0625,0,7.79,3.152708333,2.695,1.778543744,1.89,4.1925,18.33,45.33,33.58166667,34.375,5.132034924,29.9375,37.0625,0,12.53,4.645,4.15,2.422941666,2.87,6.0025,9.5,23.25,15.7696875,15.75,2.958787964,13.875,17.69,0,8.52,3.213229167,2.85,1.867418423,2.05,4.045,7,23.25,16.25427083,16.125,3.161331413,14,18.3725,0.47,8.99,3.53,3.49,1.397539944,2.4975,4.335,15,44.25,34.03114583,34.75,5.4703959,30.645,37.875,0,10.66,3.803854167,3.67,2.275009946,2.2525,5.4175,7.25,25.25,15.35520833,15,3.069317764,13.67,17.25,0.47,8.58,3.205729167,2.945,1.725635654,1.775,4.16,7,24.5,16.67583333,16.75,3.005749111,14.9375,18.5,0.43,6.65,2.889479167,2.755,1.25629394,2.2025,3.695,22,46.75,37.67875,38.375,5.534583948,33.6875,41.625,0,13.44,3.770625,2.99,2.752183368,1.87,4.7425,5,20.5,14.17864583,14.5,3.470803523,11.9375,16.5425,0,7.56,2.783541667,2.59,1.437974437,1.73,3.57,7.75,23,15.47489583,15.25,3.1612972,13.31,18,0,8.26,3.224479167,2.815,1.895585381,1.79,4.2475,22.25,43.5,34.66177083,34.54,4.639286922,31.73,37.8125,0.43,11.03,4.0565625,3.585,2.389746002,2.12,5.835,9.5,21,15.2578125,15.25,2.765253659,13.585,17.2125,0.43,7.22,3.280729167,3.045,1.696741921,1.92,4.535,10,24,16.72114583,16.75,3.060077698,14.5,19,0,8.04,3.4253125,3.2,1.694990112,2.26,4.535,0
