min_avg_RSS12_1,max_avg_RSS12_1,mean_avg_RSS12_1,median_avg_RSS12_1,standard deviation_avg_RSS12_1,1st quart_avg_RSS12_1,3rd quart_avg_RSS12_1,min_var_RSS12_1,max_var_RSS12_1,mean_var_RSS12_1,median_var_RSS12_1,standard deviation_var_RSS12_1,1st quart_var_RSS12_1,3rd quart_var_RSS12_1,min_avg_RSS13_1,max_avg_RSS13_1,mean_avg_RSS13_1,median_avg_RSS13_1,standard deviation_avg_RSS13_1,1st quart_avg_RSS13_1,3rd quart_avg_RSS13_1,min_var_RSS13_1,max_var_RSS13_1,mean_var_RSS13_1,median_var_RSS13_1,standard deviation_var_RSS13_1,1st quart_var_RSS13_1,3rd quart_var_RSS13_1,min_avg_RSS23_1,max_avg_RSS23_1,mean_avg_RSS23_1,median_avg_RSS23_1,standard deviation_avg_RSS23_1,1st quart_avg_RSS23_1,3rd quart_avg_RSS23_1,min_var_RSS23_1,max_var_RSS23_1,mean_var_RSS23_1,median_var_RSS23_1,standard deviation_var_RSS23_1,1st quart_var_RSS23_1,3rd quart_var_RSS23_1,min_avg_RSS12_2,max_avg_RSS12_2,mean_avg_RSS12_2,median_avg_RSS12_2,standard deviation_avg_RSS12_2,1st quart_avg_RSS12_2,3rd quart_avg_RSS12_2,min_var_RSS12_2,max_var_RSS12_2,mean_var_RSS12_2,median_var_RSS12_2,standard deviation_var_RSS12_2,1st quart_var_RSS12_2,3rd quart_var_RSS12_2,min_avg_RSS13_2,max_avg_RSS13_2,mean_avg_RSS13_2,median_avg_RSS13_2,standard deviation_avg_RSS13_2,1st quart_avg_RSS13_2,3rd quart_avg_RSS13_2,min_var_RSS13_2,max_var_RSS13_2,mean_var_RSS13_2,median_var_RSS13_2,standard deviation_var_RSS13_2,1st quart_var_RSS13_2,3rd quart_var_RSS13_2,min_avg_RSS23_2,max_avg_RSS23_2,mean_avg_RSS23_2,median_avg_RSS23_2,standard deviation_avg_RSS23_2,1st quart_avg_RSS23_2,3rd quart_avg_RSS23_2,min_var_RSS23_2,max_var_RSS23_2,mean_var_RSS23_2,median_var_RSS23_2,standard deviation_var_RSS23_2,1st quart_var_RSS23_2,3rd quart_var_RSS23_2,min_avg_RSS12_3,max_avg_RSS12_3,mean_avg_RSS12_3,median_avg_RSS12_3,standard deviation_avg_RSS12_3,1st quart_avg_RSS12_3,3rd quart_avg_RSS12_3,min_var_RSS12_3,max_var_RSS12_3,mean_var_RSS12_3,median_var_RSS12_3,standard deviation_var_RSS12_3,1st quart_var_RSS12_3,3rd quart_var_RSS12_3,min_avg_RSS13_3,max_avg_RSS13_3,mean_avg_RSS13_3,median_avg_RSS13_3,standard deviation_avg_RSS13_3,1st quart_avg_RSS13_3,3rd quart_avg_RSS13_3,min_var_RSS13_3,max_var_RSS13_3,mean_var_RSS13_3,median_var_RSS13_3,standard deviation_var_RSS13_3,1st quart_var_RSS13_3,3rd quart_var_RSS13_3,min_avg_RSS23_3,max_avg_RSS23_3,mean_avg_RSS23_3,median_avg_RSS23_3,standard deviation_avg_RSS23_3,1st quart_avg_RSS23_3,3rd quart_avg_RSS23_3,min_var_RSS23_3,max_var_RSS23_3,mean_var_RSS23_3,median_var_RSS23_3,standard deviation_var_RSS23_3,1st quart_var_RSS23_3,3rd quart_var_RSS23_3,min_avg_RSS12_4,max_avg_RSS12_4,mean_avg_RSS12_4,median_avg_RSS12_4,standard deviation_avg_RSS12_4,1st quart_avg_RSS12_4,3rd quart_avg_RSS12_4,min_var_RSS12_4,max_var_RSS12_4,mean_var_RSS12_4,median_var_RSS12_4,standard deviation_var_RSS12_4,1st quart_var_RSS12_4,3rd quart_var_RSS12_4,min_avg_RSS13_4,max_avg_RSS13_4,mean_avg_RSS13_4,median_avg_RSS13_4,standard deviation_avg_RSS13_4,1st quart_avg_RSS13_4,3rd quart_avg_RSS13_4,min_var_RSS13_4,max_var_RSS13_4,mean_var_RSS13_4,median_var_RSS13_4,standard deviation_var_RSS13_4,1st quart_var_RSS13_4,3rd quart_var_RSS13_4,min_avg_RSS23_4,max_avg_RSS23_4,mean_avg_RSS23_4,median_avg_RSS23_4,standard deviation_avg_RSS23_4,1st quart_avg_RSS23_4,3rd quart_avg_RSS23_4,min_var_RSS23_4,max_var_RSS23_4,mean_var_RSS23_4,median_var_RSS23_4,standard deviation_var_RSS23_4,1st quart_var_RSS23_4,3rd quart_var_RSS23_4,min_avg_RSS12_5,max_avg_RSS12_5,mean_avg_RSS12_5,median_avg_RSS12_5,standard deviation_avg_RSS12_5,1st quart_avg_RSS12_5,3rd quart_avg_RSS12_5,min_var_RSS12_5,max_var_RSS12_5,mean_var_RSS12_5,median_var_RSS12_5,standard deviation_var_RSS12_5,1st quart_var_RSS12_5,3rd quart_var_RSS12_5,min_avg_RSS13_5,max_avg_RSS13_5,mean_avg_RSS13_5,median_avg_RSS13_5,standard deviation_avg_RSS13_5,1st quart_avg_RSS13_5,3rd quart_avg_RSS13_5,min_var_RSS13_5,max_var_RSS13_5,mean_var_RSS13_5,median_var_RSS13_5,standard deviation_var_RSS13_5,1st quart_var_RSS13_5,3rd quart_var_RSS13_5,min_avg_RSS23_5,max_avg_RSS23_5,mean_avg_RSS23_5,median_avg_RSS23_5,standard deviation_avg_RSS23_5,1st quart_avg_RSS23_5,3rd quart_avg_RSS23_5,min_var_RSS23_5,max_var_RSS23_5,mean_var_RSS23_5,median_var_RSS23_5,standard deviation_var_RSS23_5,1st quart_var_RSS23_5,3rd quart_var_RSS23_5,min_avg_RSS12_6,max_avg_RSS12_6,mean_avg_RSS12_6,median_avg_RSS12_6,standard deviation_avg_RSS12_6,1st quart_avg_RSS12_6,3rd quart_avg_RSS12_6,min_var_RSS12_6,max_var_RSS12_6,mean_var_RSS12_6,median_var_RSS12_6,standard deviation_var_RSS12_6,1st quart_var_RSS12_6,3rd quart_var_RSS12_6,min_avg_RSS13_6,max_avg_RSS13_6,mean_avg_RSS13_6,median_avg_RSS13_6,standard deviation_avg_RSS13_6,1st quart_avg_RSS13_6,3rd quart_avg_RSS13_6,min_var_RSS13_6,max_var_RSS13_6,mean_var_RSS13_6,median_var_RSS13_6,standard deviation_var_RSS13_6,1st quart_var_RSS13_6,3rd quart_var_RSS13_6,min_avg_RSS23_6,max_avg_RSS23_6,mean_avg_RSS23_6,median_avg_RSS23_6,standard deviation_avg_RSS23_6,1st quart_avg_RSS23_6,3rd quart_avg_RSS23_6,min_var_RSS23_6,max_var_RSS23_6,mean_var_RSS23_6,median_var_RSS23_6,standard deviation_var_RSS23_6,1st quart_var_RSS23_6,3rd quart_var_RSS23_6,bending
39,42,40.92725,41.5,0.941099512,40.4575,41.75,0,1,0.470125,0.5,0.215838041,0.43,0.5,4,24,17.478125,17,4.389624445,14.6275,21,0,7.23,0.799,0.5,0.977375198,0.43,1.09,32.5,35.25,33.255625,33,0.521984635,33,33.75,0,1.5,0.386625,0,0.591539386,0,1.3,38.75,42.33,41.797875,42,0.750236577,42,42,0,1.22,0.042125,0,0.181747451,0,0,9.25,24,19.176,19.415,2.275068284,18,20.27,0,2.68,0.363375,0.43,0.464351852,0,0.5,33,36,34.8465,35,0.915888031,34.1875,35.3475,0,1.5,0.916375,1.3,0.593072335,0,1.3,38,41.75,40.11575,40.5,0.893635407,39.6575,40.67,0,1,0.61475,0.5,0.257789901,0.47,0.83,4,25.67,16.363625,16.67,4.630206886,15.31,17.25,0,3.09,0.6035,0.43,0.869650155,0,0.83,33,36.17,35.4105,36,0.896596801,34.875,36,0,1.5,0.464,0,0.634267443,0,1.3,37.25,40.75,39.125375,39,0.577765104,39,39.5,0,1.3,0.388375,0.47,0.329162511,0,0.5,8,27.25,19.211875,19.71,4.596042903,15.5,23.5,0,4.55,1.21675,1.095,1.007523314,0.47,1.6775,32.75,37.75,36.2575,36.25,0.85367189,36,36.75,0,1.92,0.63875,0.5,0.502647107,0,1,38.33,40.75,39.237625,39.25,0.393402051,39,39.33,0,1.25,0.328375,0.43,0.30012421,0,0.475,8.75,25.33,19.2135,20.75,4.525355878,15.4375,23.33,0,5.5,1.39025,1.09,1.261543133,0.43,1.7075,30.5,38.25,35.114375,36,2.054805324,33,36.5625,0,1.87,0.671875,0.5,0.54832563,0.3225,1.22,41,45,42.544875,42,0.885266167,42,43.5,0,1.3,0.307875,0.43,0.318813837,0,0.5,11.5,29.5,22.8025,24,3.023830457,21,24.85,0,3.27,0.622375,0.47,0.577818341,0.43,0.71,27.25,37.75,30.98325,30,1.95595797,30,31.3725,0,1.5,0.345875,0.43,0.412186801,0,0.5,1
41.75,44.25,43.4185,43.5,0.3273449,43.33,43.5,0.43,0.94,0.557,0.5,0.13986793,0.47,0.5,7,25.33,19.750875,20.5,4.234071325,17.875,23.5,0,5.5,1.140375,0.605,1.261396096,0.43,1.4325,30,34.5,32.58125,33,0.890560022,32.25,33,0,1.5,0.313,0,0.434870561,0,0.4775,42,43.67,42.425,42.5,0.383385981,42.25,42.5,0,0.83,0.379875,0.47,0.216318411,0.43,0.5,12,22.5,20.103,20.67,1.566850748,19.4575,21,0,3.27,0.529,0.47,0.628239654,0,0.5525,32.67,36,34.3845,34.375,1.12453636,33,35.25,0,1.5,0.698375,1.08,0.659826298,0,1.3,42,42.5,42.086375,42,0.145977662,42,42.25,0,0.5,0.128125,0,0.203507806,0,0.43,19.33,23,21.255125,21,0.552171762,21,21.5,0,0.94,0.2615,0.43,0.278049718,0,0.43,33,36,34.276625,34.375,1.026004841,33,35.25,0,1.5,0.814375,1.3,0.645853069,0,1.3,38,45,41.3165,41.75,1.447250645,40.4375,42,0,1.22,0.37475,0.43,0.369351039,0,0.71,2,29.5,19.7445,21,4.468494465,18.25,22.0625,0,5.76,1.172125,0.97,1.162390263,0.43,1.52,28,38.5,33.558125,33.75,2.634809865,31.6275,36,0,3.11,0.796,0.825,0.635804285,0.43,1.3,38.5,45.5,43.473125,44.5,1.828739341,42,44.67,0,1.12,0.40075,0.48,0.253231145,0.43,0.5,13.33,26.25,21.913125,22.25,2.530547343,20.8125,24,0,2.87,0.76625,0.5,0.694208182,0.3225,1.2275,27.67,36.33,30.977,30,1.765908093,30,32.25,0,2.62,0.42,0.43,0.559330522,0,0.5,42,45.67,44.157375,44.585,1.087763637,43.25,45,0,1.12,0.394125,0.47,0.319939447,0,0.5,6,26.75,17.81525,18.835,5.886470214,13,22.8125,0,5.72,1.389375,0.905,1.345636496,0.46,2.1625,28,36.67,32.37,32.375,1.529732334,31.25,33,0,1.5,0.38475,0.43,0.422053374,0,0.5,1
13.75,26.75,21.60825,22,2.861604744,20.6875,24,0,4.92,0.909,0.71,0.98424629,0.43,1.145,9.5,24.75,20.750625,21.5,3.517828496,19.5,23,0,4.82,0.7375,0.47,0.895775599,0.43,0.87,18.25,28,25.930125,26.25,1.543285574,25,27,0,1.79,0.526125,0.47,0.404767456,0,0.83,12.75,27,23.611625,24.225,3.011122606,23.6875,25.33,0,6.76,0.833375,0.47,1.201192386,0.43,0.7375,5.67,21,17.553375,18,2.705638718,16.5,19.0625,0,2.86,0.469375,0.43,0.546017442,0,0.5,15.2,28.33,25.926625,26.5,1.932792918,25.75,27,0,2.64,0.5465,0.5,0.458034049,0.43,0.71,24.25,51,28.80625,27.75,5.114360614,26.25,29.8125,0,6.87,0.581125,0.43,1.044161578,0,0.4775,2.75,25.33,17.641625,18,3.6860838,16,18.8125,0,6,0.6395,0.47,0.840194221,0,0.8225,18.67,30,27.516875,28,2.045515994,27,28.75,0,1.73,0.31775,0.43,0.378039496,0,0.4775,17.5,27.33,22.692875,23.25,1.982255584,21.5,24,0,2.77,0.627,0.5,0.503741445,0.43,0.5525,12,24,20.28,21,2.267583334,18.9375,21.5625,0,5.19,0.969125,0.5,1.104291048,0.43,1.3,14.75,26.75,20.92925,20.67,2.442081378,19.31,21.3725,0,4.74,1.141625,0.83,0.937140066,0.47,1.655,21.33,27,24.145875,24,1.194955318,23.6275,24.5,0,0.94,0.323125,0.43,0.272562123,0,0.5,0,24,17.39725,21,6.997659279,11.1875,22,0,4.03,0.8985,0.5,0.975044433,0.43,1,11.4,24,20.2525,20.25,2.402187558,19,21.8125,0,4.97,0.834625,0.73,0.70334633,0.47,1.0225,25,27.5,26.512875,26.75,0.608205898,26,27,0,0.94,0.271375,0.43,0.287317333,0,0.47,11.25,24,21.105125,21.585,2.991348705,21,23.33,0,6.76,0.706625,0.47,1.034497302,0,0.74,10.67,23.75,20.402875,20.875,2.307322517,19.575,21.5625,0,4.56,0.8345,0.71,0.769321417,0.46,1,1
26.5,30,28.63425,29.5,1.441584725,27,30,0,0.94,0.102375,0,0.205704986,0,0,7.5,24,19.308875,20.165,3.187119248,18.25,21,0,5.76,0.877,0.47,1.083092619,0.43,0.94,12.5,20,16.1055,15.75,1.804542019,15,17.3725,0,4.03,1.08125,0.96,0.594040818,0.71,1.3,27,30,28.9515,29,0.795154789,28.5,29.5,0,0.71,0.320875,0.43,0.214866422,0,0.47,14.33,24,19.786875,20.29,2.187040422,18,21.0625,0,1.41,0.34925,0.43,0.397096344,0,0.5,14.25,22.5,18.573,18.415,1.440566344,17.73,19.27,0,2.12,0.646,0.5,0.382320033,0.43,0.83,27.33,31.33,29.629,30,0.810396996,29.25,30,0,1.25,0.270375,0,0.312723616,0,0.47,16,24,19.187125,18.875,1.894267297,17.67,20.75,0,1.5,0.501875,0.5,0.364997291,0.3225,0.82,17.75,24,20.866625,21,1.147214506,20.4575,21.25,0,1.64,0.58575,0.5,0.419390079,0.43,0.84,20.67,30.33,27.635125,27.5,2.031481341,27,29.27,0,1.62,0.347875,0.43,0.386747861,0,0.5,14.75,28,20.255625,20.29,2.663868817,18.6025,21.75,0,2.49,0.721625,0.605,0.605298219,0.43,1.0225,0,23.5,17.554625,18.835,4.10589448,15.1875,20.5,0,3.86,0.9895,0.94,0.711297442,0.47,1.3,0,37.5,25.499125,24.125,5.240292579,23.6275,25.7525,0,7.05,0.693,0.47,0.996501983,0.3225,0.83,11.75,35,25.268875,25.71,4.243948184,22.9375,27.3725,0,4.76,1.05975,0.5,1.163415938,0.3225,1.4525,0,25,11.532125,10.54,5.126231545,8.6275,14,0,6.76,1.488875,1.17,1.260258155,0.4925,2.2825,15.25,42.75,24.438625,23.635,4.618262248,21.4575,26,0,7.76,0.96375,0.5,1.315431657,0.43,0.94,11.25,32.75,21.247875,21,4.300114127,18,24.3725,0,4.64,1.17,0.83,1.124008424,0.43,1.5,11,33,21.07575,21.25,6.443785894,15,26.25,0,6.68,1.941375,1.41,1.44515055,0.94,3.045,1
30.75,44.5,36.743875,35.625,3.769307257,33.9375,40.125,0,6.61,2.33575,2.025,1.355992583,1.3,3.27,8.5,24,16.922375,17.5,3.202275395,14.6875,19,0,8.05,3.24975,3.07,1.763909621,2.1675,4.105,11.67,24.67,19.3735,19.75,2.840404277,17.875,21.25,0.47,7.76,2.987375,2.685,1.571038312,1.79,3.9025,29.33,44,36.845625,36.625,3.698236269,34.1875,39.5425,0,8.18,2.583875,2.13,1.704707179,1.3,3.525,10.33,26.75,18.21625,17.75,3.445495087,16,19.875,0,7.45,2.877875,2.52,1.608218366,1.775,4.105,7,24.25,18.8635,19.67,3.500601431,16.5,21.5,0,8.26,2.92175,2.29,1.847709341,1.5,3.9025,24.25,45,37.273125,36.5,3.875418995,34.5,40.69,0,6.6,2.258375,1.76,1.488969947,1.3,3.15,5.5,23.75,16.226,16.67,3.884303238,13.5,18.8125,0.43,7,2.857625,2.57,1.471493897,1.58,4.005,12.5,25.5,20.47475,20.875,2.592482792,18.75,22.3725,0,9.07,3.107,2.91,2.012970222,1.45,4.0825,31.5,44.5,37.44375,36.25,3.629607984,35,40.75,0,7.56,2.46425,2.005,1.759933669,1.3,3,6.75,23,15.811625,16.5,3.618881023,13,18.5,0,7.83,3.23275,2.975,1.676134775,2.0575,4.1925,12.67,24.5,19.55025,19.75,2.909080056,17.75,21.75,0,8.18,2.998375,2.55,1.902902808,1.56,3.9625,30.33,44.67,37.58625,36.625,3.480231469,35,40.8125,0,8.58,2.465125,2.17,1.689284167,1.3,3.1925,9.5,21.25,15.488375,15.5,2.820816582,13.31,17.25,0,7.43,2.700375,2.49,1.48465181,1.7225,3.565,11.75,24.33,19.362,20,2.699486777,17.4575,21.3725,0,8.49,2.80275,2.45,1.900757327,1.3825,3.7625,29,43.25,37.169625,36.55,3.004038397,35.6275,39.25,0,7.25,2.137875,1.79,1.584737085,1.2375,2.94,11,23,16.521875,15.875,2.890381296,14.4575,19,0,7.26,2.54525,2.415,1.497532971,1.3825,3.5875,12.5,24,20.0195,20.585,2.499290988,18.5,21.75,0,9.34,2.713125,2.315,1.88105047,1.3,3.67,0
29.25,43.25,37.4325,36.75,2.976509084,35.25,39.5,0,7.08,2.079625,1.855,1.277223496,1.3,2.84,6.67,21,15.681125,15.625,3.056145083,13.6275,18.0625,0,8.17,3.135625,3.155,1.722511299,1.7675,4.06,11.33,23.75,18.0055,18.29,3.174974095,15.31,20.5625,0.43,7.29,2.6905,2.39,1.580277896,1.3825,3.7175,29.75,44,37.611125,37,3.148713217,35.6875,39.69,0,8.95,2.233375,1.76,1.729291172,1.25,3.2025,9,21.5,16.47825,17,2.706584926,15,18.3725,0,7.4,3.42775,3.385,1.628340753,2.4975,4.3625,12.25,23,19.553375,20.29,2.566227564,18.5,21.25,0.43,8.57,3.1425,2.895,1.947622049,1.5,4.26,29.25,44.75,37.733125,37,3.281009259,35.475,39.75,0,8.79,2.021875,1.5,1.688465031,1.09,2.49,9,24,16.44275,16.625,3.461846282,14.25,19.27,0,6.36,2.952625,2.89,1.47694754,1.87,3.9375,13.5,23.75,20.2315,20.29,2.066636784,19,21.67,0,7.23,2.523125,2.29,1.547861402,1.41,3.4375,30,43.33,37.34725,36.125,3.18203222,35.585,40,0,8.16,2.110125,1.79,1.705484447,1.09,3.005,6.5,24,17.279,17.585,3.784074089,14.73,20.3125,0,8.32,3.027125,2.895,1.800047956,1.5975,3.9775,12,24,19.6445,20.25,2.765010083,18,21.5425,0,9.62,2.90275,2.49,2.042368304,1.28,4.2175,30.25,43.75,37.3985,36.29,3.495576988,35,40.5,0,6.72,2.09,1.5,1.647678075,1.195,2.49,7.67,24.5,17.495625,18.71,4.167829427,13.6275,20.625,0,6.87,2.656375,2.49,1.583064041,1.3825,3.695,10.5,24.33,19.25425,19.875,2.917798622,17.9375,21.125,0,7.82,2.844875,2.49,1.766529168,1.495,3.855,28.75,44,37.844625,37,3.32171907,35.5,41.5,0,9.91,1.949125,1.41,1.775184208,0.5,3.03,6.67,24.67,16.0255,16.415,4.447380654,12.25,19.69,0.5,7.69,3.00375,2.91,1.467421207,1.885,3.98,14,23.5,20.42425,20.875,2.06270854,19.31,22,0,8.83,2.491625,2.085,1.640051283,1.3,3.2475,0
31.33,44,37.831125,36.67,3.116156751,35.31,40.8125,0,12.99,2.080625,1.355,2.109690327,0.87,2.8875,6.33,24,16.640625,17.75,4.223820738,13.585,20,0,7.37,2.891,2.77,1.594078123,1.775,3.97,12.25,24.25,19.917875,20.25,2.388254324,18.5,22,0,7.07,2.467125,2.055,1.614497762,1.22,3.5875,28.5,44.67,38.226625,37.29,3.781018865,36,42.0825,0,11.5,1.929625,1.3,2.07510039,0.4925,2.9625,6.75,23,16.073125,16.29,4.104935465,12.645,19.4375,0,7.5,2.506875,2.17,1.538020752,1.41,3.49,10,23.33,19.6675,20.325,2.960107978,19.1875,21.5525,0,7.87,2.521625,2.175,1.650075137,1.41,3.2475,28,43.75,37.16425,36.25,3.639242784,34.31,40.25,0,9.9,2.43125,2.05,1.769161551,1.3,3.27,9,23,16.7025,16.875,3.547363257,13.9375,19.25,0,7.36,3.2405,3.345,1.586972996,1.87,4.4925,10.5,23,19.305375,20,2.933852586,17.75,21.5,0.43,7.79,2.868125,2.52,1.778031264,1.4375,3.845,27.25,44,36.9385,35.75,3.541337121,34.5,40,0,7.85,2.496375,1.99,1.726653487,1.3,3.9,10.75,22.5,17.047,17.125,2.694123657,15,19.25,0,7.15,3.2065,3.065,1.4579942,2.3425,4.12,10.33,23.75,19.10925,19.375,2.881804891,17.25,21.3725,0,8.55,2.888,2.435,1.767642641,1.3825,3.9825,28.67,44,37.202375,36.585,3.642162122,34.5,40.0825,0,7.37,2.61925,2.145,1.738025779,1.4625,3.2475,10.67,22.75,15.984375,16.25,2.782171014,13.9375,17.3725,0,7.76,3.17425,3.255,1.654433074,2.0575,4.045,7.5,21,15.34825,15.575,2.986491856,13.25,17.25,0.43,7.79,3.270375,3.015,1.837643265,1.865,4.57,22,42.75,34.989375,34.71,3.746752972,32.33,37.27,0,14.17,3.07175,2.595,2.335456898,1.5,3.87,7,24,15.88225,15.67,3.534415238,13.25,17.8125,0,9.74,2.865,2.54,1.749836882,1.7,3.77,7.5,21.33,15.4075,15.625,3.495724875,12.73,18.2875,0.5,8.5,3.88725,3.685,1.891683314,2.3275,5.345,0
22.33,41.33,34.637,36,4.85914104,31.6875,38.3125,0.5,12.19,3.79625,3.555,2.259935238,2.1025,5.27,5.5,21.33,15.79675,16,3.104353731,14,17.67,0,6.61,3.1515,3.11,1.667671081,2.0375,4.155,11.67,25,16.85625,16.75,3.01100655,14.69,18.5625,0.5,9.74,3.655375,3.305,2.043500932,2.0925,5.14,23,42.5,34.485875,36,4.806045427,30,38,0,10.11,4.238875,3.865,2.30683519,2.49,5.79,10.25,23,15.966625,16,2.584661153,14.4575,17.69,0.87,7.3,3.009375,2.975,1.291647308,2.0575,3.6425,7.33,21.5,15.996625,16.25,3.225124056,14.1875,18.415,0,8.47,3.437625,3.1,1.778831393,2.305,4.3525,23.33,41,33.881625,35.75,4.675696778,30.4375,37.25,0,10.78,3.88975,3.49,2.456638629,2.12,4.825,8.67,21.33,15.99525,16,2.840348069,14.5,18.25,0,8.73,3.542875,3.255,1.796874356,2.22,4.73,9.25,24,16.818,16.5,2.845090998,15,18.8125,0,6.6,3.0695,3.06,1.451358944,2.0575,3.86,19.33,43.5,33.637,35,5.39901571,29.6275,37.33,0,14.5,3.884125,3.57,2.384156403,1.9125,5.115,7.33,21.67,15.284125,15.5,2.610051017,14,17,0,7.63,3.673625,3.8,1.700522067,2.16,4.7225,9,26,16.8785,16.875,2.987174314,15,18.5625,0,7.43,3.187,2.815,1.809711775,1.89,4.335,25.25,42.75,34.786875,35.25,4.648699449,31.9175,38.0625,0.47,9.46,4.049,3.475,2.102422713,2.49,5.2375,7.33,23.5,15.75775,16,3.023720139,13.5,17.69,0,8.86,3.025,2.9,1.665437184,1.7225,3.955,10.25,25.25,16.870875,16.71,3.223348834,14.67,18.7525,0.5,8.58,3.385125,3.17,1.770206305,2.15,4.425,19.5,42.33,33.93825,35.125,4.951405318,30.25,37.425,0.71,9.68,4.116375,3.67,2.136318402,2.6,5.275,8.25,21.75,15.478,15.5,2.855894371,13.4575,17.75,0,8.26,3.4205,3.095,1.763835651,2.0175,4.75,6.75,24,16.30675,16.585,3.221114193,14.67,18,0.43,8.86,3.630125,3.33,1.827522702,2.105,4.905,0
23.67,42.25,34.2725,34.875,4.734169223,31.25,37.75,0.43,12.32,4.5645,3.8,2.691514044,2.6275,6.4925,8.67,23.75,15.583875,16,3.023581368,13.31,17.5,0,8.15,3.28925,3.11,1.701534508,1.98,4.335,7.25,25,16.614875,16.75,3.274486333,14.73,18.5425,0.87,8.46,3.42725,2.85,1.969679004,1.9125,4.4325,18.67,43,33.0605,33.75,4.85157782,29.6275,36.5,0.47,11.67,4.53,4.5,2.49479661,2.4325,6.145,8,21.75,15.646875,15.75,2.988820348,13.6275,17.5,0,9.06,3.251625,3.055,1.807558983,2.07,4.29,7.33,22.5,15.583875,15.5,2.89808994,13.6875,17.3725,1.22,7.12,3.6955,3.6,1.499528956,2.49,4.6175,21.5,45,33.955875,35,5.377874902,31,37.75,0.43,13.05,4.108,3.825,2.158392745,2.48,5.1775,5.75,23,15.432625,15.55,3.127729287,13.4575,17.5425,0.47,9.1,3.569375,3.29,1.731061242,2.4275,4.6,9,23.75,16.8,17.25,3.00800409,15,18.5425,0,8.38,3.013375,2.87,1.778500253,1.8875,3.9,24.25,42,33.377125,33.75,4.40141985,30.1875,36.1675,0,11.58,4.399625,4.03,2.231044737,2.83,5.475,9.25,21.67,15.3485,15,2.744327683,13.6275,16.75,0,9,3.212375,2.865,1.723753811,2.0375,4.2425,9,23.33,16.141875,16.375,3.224309206,14.125,18.5425,0.47,8.96,3.626875,3.32,1.933617056,2.15,4.7475,12.5,41.33,32.868375,34.125,5.379697522,29.9375,36.3725,0,12.85,4.68275,3.93,2.512037841,3.0325,6.2225,9.5,23.75,15.697,15.585,2.948028906,13.6875,17.67,0.43,6.1,3.04,2.87,1.236799668,2.15,3.805,9.5,24.25,17.541625,17.75,3.062877957,15.5,19.27,0,8.75,3.014875,2.775,1.750742334,1.7975,3.9025,24,43.25,33.524,33.5,4.250065554,30.875,36.5625,0.43,8.61,4.41975,4.47,1.884536659,3.2525,5.745,7.25,22.25,15.63775,15.67,2.693398857,14.1875,17.5,0.47,7.4,3.7425,3.705,1.673743247,2.49,4.9175,8.75,24,16.566,17,3.068084629,14.6275,18.75,0,7.95,3.493,3.27,1.681085695,2.45,4.6725,0
20.5,41.33,33.315375,34,4.512990516,30.875,36.25,0.94,10.69,4.81425,4.57,2.325752784,2.845,6.08,7.5,22,15.29675,15.5,3.072157439,13.1875,17.3725,0.43,8.46,3.130875,2.845,1.769748744,1.7,4.5,7.33,23.75,15.72075,16,3.288110063,13.1875,17.75,0,7.79,3.32,2.86,1.841037132,2.0375,4.5125,18.33,43.33,33.41375,34.375,5.283806495,29.9375,37.0625,0,12,4.45975,4.15,2.388968304,2.5725,5.9175,9.5,23.25,15.631375,15.71,2.945067855,13.4575,17.8125,0,8.52,3.19275,3.03,1.486676674,2.1575,3.9,7,22.33,16.387375,16.635,3.168761985,14.4375,18.75,0.5,8.99,3.4205,3.27,1.483231931,2.28,4.225,15,45.33,34.04575,34.75,5.54398266,30.33,37.75,0,12.53,4.445125,3.955,2.441851857,2.795,6.225,7.25,21.75,15.515,15.32,2.703134608,13.67,17.0625,0,8.5,3.090875,2.755,1.937730758,1.6825,4.065,10,23.25,16.625875,16.71,2.788043048,14.73,18.69,0.47,6.65,3.105375,2.95,1.274896813,2.4325,3.77,21.5,46,34.899625,34.665,5.442180651,30.6875,39.3725,0,10.66,3.478375,3.27,2.12174125,2.005,4.645,5,25.25,15.341,15,3.460961526,13.5,18,0.71,8.58,3.13375,2.905,1.730347426,1.685,4.16,7,24.5,16.4765,16.5,3.329746674,14.375,18.5,0.43,7.59,2.92425,2.495,1.615761587,1.7175,4.0375,22,46.75,38.103,38.25,4.914660167,35.8125,41.8125,0,13.44,3.7775,2.745,2.962021846,1.6375,5.08,6.33,21,14.3575,14.5,3.569968443,11.9375,17,0,6.76,2.776,2.49,1.462452942,1.775,3.6025,7.75,23,15.542875,15.29,3.144327097,13.6875,17.69,0,8.26,3.366125,3.08,1.825160644,2.0175,4.4275,22.25,43.5,34.186,34.25,4.735184115,31,37.5625,0.43,11.03,4.230375,4.01,2.392339803,2.38,5.915,9.5,20.75,15.1975,15.25,2.670388252,13.75,17.0625,0.43,7.22,3.343625,3.115,1.698591556,2.0175,4.645,10,24,16.752875,16.75,3.081331372,14.25,19,0,8.04,3.330125,3.195,1.670132636,2.1575,4.26,0
